Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
27,7.95,+0.5,Matias GHANSAH,27 AUG 1974,SWE,2,,Belfast (GBR),21 JUN 1991,1127
27,7.95,+1.9,Vadym ADAMCHUK,30 MAY 1994,UKR,3,,Yalta (UKR),18 MAY 2011,1127
29,7.94,,Charles SMITH,24 MAY 1966,USA,1,,"New Britain, CT (USA)",30 JUL 1983,1125
30,7.93,,Daniele Leonardo INZOLI,12 AUG 2008,ITA,1,,"Palaindoor Ancona, Ancona (ITA) (i)",22 FEB 2025,1123
30,7.93,+0.4,Chengyi ZHOU,19 FEB 2008,CHN,1q1,,"Olympic Center, Shenyang (CHN)",10 AUG 2025,1123
32,7.92,,Justin GUNN,,USA,5,,"Fayetteville, AR (USA) (i)",14 MAR 2008,1120
33,7.91,,Robert EMMIYAN,16 FEB 1965,URS,1,,Yerevan (ARM),06 NOV 1982,1118
34,7.90,,Lorenzo WRIGHT,09 DEC 1936,USA,1,,"Detroit, MI (USA)",05 MAY 1948,1116
34,7.90,+1.8,Anatoliy RYAPOLOV,31 JAN 1997,RUS,1,,Chelyabinsk (RUS),22 JUN 2013,1116
34,7.90,+3.7,Petr MEINDLSCHMID,15 JAN 2006,CZE,1,,"Atletski stadion Poljane, Maribor (SLO)",27 JUL 2023,1094
37,7.88,-0.5,Maikel Yorges VIDAL,06 JAN 2000,CUB,1,,"Kasarani, Nairobi (KEN)",13 JUL 2017,1115
38,7.87,+1.4,Abdulrahman AL NUBI,17 OCT 1979,QAT,3,,Jakarta (INA),21 SEP 1995,1109
38,7.87,0.0,Dwhyte BARRETT,23 FEB 1980,JAM,2,,La Habana (CUB),20 JUL 1997,1109
38,7.87,+2.7,John THORNELL,22 APR 1985,AUS,1,,Melbourne (AUS),07 MAR 2002,1093
38,7.87,+1.9,Naohiro SHINADA,10 FEB 1986,JPN,1,,Obihiro (JPN),17 JUN 2003,1109
38,7.87,+1.2,Jaydon HIBBERT,17 JAN 2005,JAM,1,,"National Stadium, Kingston (JAM)",06 APR 2022,1109
43,7.86,,Gerald HARDEMAN,15 MAR 1955,USA,1,,"Porterville, CA (USA)",26 MAY 1972,1107
43,7.86,+1.7,Eusebio CÁCERES,10 SEP 1991,ESP,1,,Torrent (ESP),28 JUN 2008,1107
43,7.86,-0.1,Kumaravel PREM KUMAR,02 JUN 1993,IND,1,,Bengaluru (IND),02 DEC 2010,1107
43,7.86,+2.4,Mason MCGRODER,18 SEP 2008,AUS,1,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",07 DEC 2024,1093
47,7.85,+2.8,Ylann BIZASENE,19 APR 2006,FRA,1,,"Stade Fiesque Duchesne, Baie Mahault (FRA)",17 JUN 2023,1089
48,7.84,+0.1,Caio Cesar FERNANDES DOS SANTOS,24 MAR 1993,BRA,1q,,São Paulo (BRA),15 SEP 2010,1103
48,7.84,-0.3,Hua-Yu WEN,09 MAR 2001,TPE,4,,Taipei City (TPE),26 MAY 2018,1104
50,7.83,+1.9,Leslie DJHONE,18 MAR 1981,FRA,2,,Genève (SUI),20 JUN 1998,1101
50,7.83,,Jean CUMMINGS,04 AUG 1989,VIN,8,,"Fayetteville, AR (USA) (i)",09 MAR 2001,1101
52,7.82,,Francisco GOMEZ,07 FEB 1957,CUB,4,,Berlin (GER),31 JUL 1973,1099
52,7.82,,Stanisław JASKULKA,25 AUG 1958,POL,1,,Lublin (POL),07 SEP 1975,1099
52,7.82,,Idika Uduam UDUMA,1982,NGR,1,,Enugu (NGR),21 MAR 1998,1099
52,7.82,0.0,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1,,Pretoria (RSA),15 JUN 2002,1099
52,7.82,+0.7,Junjie GU,05 MAY 1985,CHN,4,,Baoding (CHN),09 SEP 2002,1099
52,7.82,+1.5,Joshua COWLEY,13 MAR 2001,AUS,2f1,,Buenos Aires (ARG),15 OCT 2018,1099
58,7.81,0.0,Zhengzhe TAN,10 JAN 1974,CHN,2,,Tangshan (CHN),23 SEP 1991,1096
58,7.81,+2.6,Jian CHEN,28 JAN 1982,CHN,5,,Huizhou (CHN),14 OCT 1999,1081
58,7.81,+1.8,Gai KITAGAWA,21 JUL 2003,JPN,1,,"Kusanagi Athletic Stadium, Shizuoka (JPN)",26 SEP 2020,1096
61,7.80,NWI,Dion BENTLEY,26 AUG 1971,USA,1,,"Pittsburgh, PA (USA)",19 MAY 1988,1064
61,7.80,+0.2,Yapeng SHANG,03 JAN 1983,CHN,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,1094
61,7.80,,Ja'Mari WARD,21 MAR 1998,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",14 MAR 2015,1094
61,7.80,-0.8,Daniel EMEGBOR,20 OCT 2008,GBR,1,,"Alexander Stadium, Birmingham (GBR)",11 JUL 2025,1098
65,7.79,+2.1,Thiago DIAS,02 MAR 1984,BRA,4,,Rio de Janeiro (BRA),03 AUG 2000,1080
65,7.79,+0.4,Huadeng LIN,15 JAN 1988,CHN,2,,Yixing (CHN),22 MAY 2005,1092
67,7.78,,Yevgeniy ANIKIN,13 MAR 1958,URS,1,,Tashkent (UZB),17 MAY 1975,1090
67,7.78,,David GIRALT,28 JUN 1959,CUB,1,,La Habana (CUB),31 JUL 1976,1090
67,7.78,NWI,Francisco FUENTES,30 AUG 1970,CUB,1,,Ciudad de México (MEX),19 JUN 1987,1060
67,7.78,+2.1,Thomas MARTINEZ,05 JUN 2005,FRA,1q1,,"Stade Helitas, Caen (FRA)",17 MAY 2022,1078
71,7.77,,Andreja MARINKOVIĆ,23 JAN 1965,YUG,1,,Sarajevo (BIH),02 OCT 1982,1088
71,7.77,+0.9,Schahriar BIGDELI,26 MAR 1980,GER,1,,Bad Camberg (GER),19 MAY 1997,1088
71,7.77,0.0,Nico GRIMBEEK,11 FEB 1982,RSA,1,,Gaborone (BOT),04 JUL 1999,1088
71,7.77,+0.3,Jarod BIYA,22 MAY 2000,SUI,3,,Genève (SUI),10 JUN 2017,1088
71,7.77,+3.3,Sifiso MIYA,01 JUN 2001,RSA,1,,Boksburg (RSA),28 APR 2018,1069
71,7.77,+3.1,Jorge A. HODELÍN,16 MAY 2007,CUB,2,,"Estadio Panamericano, La Habana (CUB)",26 APR 2024,1070
77,7.76,NWI,Babou SAINE,12 SEP 1969,GAM,1,,Banjul (GAM),28 JUN 1986,1056
77,7.76,,Rajeev KUMAR,10 OCT 1990,IND,3,,Chennai (IND),05 MAR 2003,1086
77,7.76,+0.1,Eberson MATUCARI,25 JUL 1999,BRA,3,,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,1086
80,7.75,,Eric METCALF,23 JAN 1968,USA,1,,"Princeton, NJ (USA) (i)",17 MAR 1985,1083
80,7.75,0.0,Yann DOMENECH,17 MAR 1979,FRA,1,,Sorgues (FRA),04 JUL 1996,1083
80,7.75,+1.8,Zhiyuan LI,24 FEB 1987,CHN,4,,Tianjin (CHN),19 MAY 2001,1083
80,7.75,+3.2,Panagiotis MANTZOUROGIANNIS,25 AUG 1999,GRE,1,,Kruševac (SRB),02 JUL 2016,1064
80,7.75,-1.6,Yuki HASHIOKA,23 JAN 1999,JPN,1,,Okayama (JPN),31 JUL 2016,1092
80,7.75,+2.6,Oliver KOLETZKO,01 AUG 2003,GER,1,,"Helmut-Schön-Sportpark, Wiesbaden (GER)",04 JUL 2020,1068
80,7.75,+1.0,Krzysztof GROCHOWSKI,10 JAN 2007,POL,1,,"Stadion Zygmunta Szelesta, Warszawa (POL)",22 JUN 2024,1083
