Mark,WIND,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
15.14,+0.3,Tatyana LEBEDEVA,1976-07-21,RUS,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,triple jump,27,F,0
15.14,+0.7,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Athina (GRE)",2004-08-23,triple jump,28,F,0
15.14,+0.9,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Athina (GRE)",2007-07-02,triple jump,30,F,0
15.14,+1.9,Nadezhda ALYOKHINA,1978-09-22,RUS,Cheboksary (RUS),2009-07-26,triple jump,30,F,0
15.14,0.0,Olga RYPAKOVA,1984-11-30,KAZ,"Aspire Dome, Doha (QAT) (i)",2010-03-13,triple jump,25,F,1
15.14,+2.0,Yulimar ROJAS,1995-10-21,VEN,Ibiza (ESP),2021-05-08,triple jump,25,F,0
15.13,+0.1,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Louis II, Monaco (MON)",2003-09-13,triple jump,27,F,0
15.13,+1.4,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Athina (GRE)",2006-09-16,triple jump,30,F,0
15.12,+2.0,Iva PRANDZHEVA,1972-02-15,BUL,Tokyo (JPN),1998-09-19,triple jump,26,F,0
15.12,-0.9,Tatyana LEBEDEVA,1976-07-21,RUS,Paris (FRA),2003-07-04,triple jump,26,F,0
15.12,0.0,Yulimar ROJAS,1995-10-21,VEN,"Stade Louis II, Monaco (MON)",2021-07-09,triple jump,25,F,0
15.12,0.0,Jasmine MOORE,2001-05-01,USA,"Convention Center, Albuquerque, NM (USA) (i)",2023-03-11,triple jump,21,F,1
15.11,+0.1,Yamilé ALDAMA,1972-08-14,CUB,Oslo (NOR),2003-06-27,triple jump,30,F,0
15.11,-0.2,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,triple jump,28,F,0
15.11,+0.8,Trecia Kaye SMITH,1975-11-05,JAM,"Olympiastadion, Helsinki (FIN)",2005-08-07,triple jump,29,F,0
15.11,+0.3,Olga RYPAKOVA,1984-11-30,KAZ,"National Stadium, Beijing (CHN)",2008-08-17,triple jump,23,F,0
15.11,+0.6,Yulimar ROJAS,1995-10-21,VEN,"Estadio Atlético de la VIDENA, Lima (PER)",2019-08-09,triple jump,23,F,0
15.1,+2.7,Keila COSTA,1983-02-06,BRA,Uberlandia (BRA),2007-05-06,triple jump,24,F,0
15.1,+0.4,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Louis II, Monaco (MON)",2007-07-25,triple jump,31,F,0
15.09,+0.5,Anna BIRYUKOVA,1967-09-27,RUS,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-21,triple jump,25,F,0
15.09,-0.5,Inna LASOVSKAYA,1969-12-17,RUS,Valencia (ESP),1997-05-31,triple jump,27,F,0
15.09,+2.0,Yargelis SAVIGNE,1984-11-13,CUB,Alcalá de Henáres (ESP),2007-07-07,triple jump,22,F,0
15.09,+0.2,Yargelis SAVIGNE,1984-11-13,CUB,"Stade Louis II, Monaco (MON)",2010-07-22,triple jump,25,F,0
15.08,+1.4,Anna BIRYUKOVA,1967-09-27,RUS,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,triple jump,27,F,0
15.08,+0.7,Inna LASOVSKAYA,1969-12-17,RUS,Madrid (ESP),1996-06-12,triple jump,26,F,0
15.08,+0.3,Yamilé ALDAMA,1972-08-14,CUB,Paris (FRA),2003-07-04,triple jump,30,F,0
15.08,0.0,Marija ŠESTAK,1979-04-17,SLO,Athina (GRE) (i),2008-02-13,triple jump,28,F,1
15.08,+2.3,Caterine IBARGUEN,1984-02-12,COL,"CIBC, Toronto (CAN)",2015-07-21,triple jump,31,F,0
15.08,0.0,Yulimar ROJAS,1995-10-21,VEN,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,triple jump,27,F,0
15.07,-0.6,Paraskevi TSIAMITA,1972-03-10,GRE,"La Cartuja, Sevilla (ESP)",1999-08-22,triple jump,27,F,0
15.07,+2.5,Tereza MARINOVA,1977-09-25,BUL,Rethymno (GRE),2000-06-10,triple jump,22,F,0
15.07,+0.8,Tatyana LEBEDEVA,1976-07-21,RUS,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,triple jump,31,F,0
15.06,+2.3,Olha SALADUKHA,1983-06-04,UKR,"Olympiastadion, Stockholm (SWE)",2011-07-29,triple jump,28,F,0
15.06,+1.1,Yulimar ROJAS,1995-10-21,VEN,Huelva (ESP),2019-06-20,triple jump,23,F,0
15.05,+2.7,Inna LASOVSKAYA,1969-12-17,RUS,Sevilla (ESP),1995-06-03,triple jump,25,F,0
15.05,-0.7,Francoise MBANGO ETONE,1976-04-14,CMR,"Stade de France, Paris-St-Denis (FRA)",2003-08-26,triple jump,27,F,0
15.05,+0.9,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2005-07-05,triple jump,28,F,0
15.05,+0.2,Trecia Kaye SMITH,1975-11-05,JAM,Helsinki (FIN),2006-07-26,triple jump,30,F,0
15.05,+0.9,Chrysopigi DEVETZI,1976-01-02,GRE,"Ullevi Stadium, Göteborg (SWE)",2006-08-09,triple jump,30,F,0
15.05,0.0,Yargelis SAVIGNE,1984-11-13,CUB,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-08,triple jump,23,F,1
15.05,+0.1,Yargelis SAVIGNE,1984-11-13,CUB,"National Stadium, Beijing (CHN)",2008-08-17,triple jump,23,F,0
15.05,+3.1,Liadagmis POVEA,1996-02-06,CUB,La Habana (CUB),2019-03-08,triple jump,23,F,0
15.05,-0.7,Yulimar ROJAS,1995-10-21,VEN,"Stade Charléty, Paris (FRA)",2019-08-24,triple jump,23,F,0
15.04,+0.9,Iva PRANDZHEVA,1972-02-15,BUL,Sofia (BUL),2000-06-17,triple jump,28,F,0
15.04,+0.3,Chrysopigi DEVETZI,1976-01-02,GRE,"Olympic Stadium, Athina (GRE)",2006-09-16,triple jump,30,F,0
15.04,+1.7,Yekaterina KONEVA,1988-09-25,RUS,"Hayward Field, Eugene, OR (USA)",2015-05-30,triple jump,26,F,0
15.04,+1.5,Caterine IBARGUEN,1984-02-12,COL,"Suhaim bin Hamad Stadium, Doha (QAT)",2016-05-06,triple jump,32,F,0
15.03,0.0,Yolanda CHEN,1961-07-26,RUS,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-11,triple jump,33,F,1
15.03,0.0,Anna BIRYUKOVA,1967-09-27,RUS,Zürich (SUI),1995-08-16,triple jump,27,F,0
15.03,+1.3,Francoise MBANGO ETONE,1976-04-14,CMR,Lappeenranta (FIN),2003-08-03,triple jump,27,F,0
15.03,+1.9,Magdelín MARTÍNEZ,1976-02-10,ITA,Roma (ITA),2004-06-25,triple jump,28,F,0
15.03,+0.6,Tatyana LEBEDEVA,1976-07-21,RUS,"Stadio Olimpico, Roma (ITA)",2005-07-08,triple jump,28,F,0
15.03,+1.1,Marija ŠESTAK,1979-04-17,SLO,"National Stadium, Beijing (CHN)",2008-08-17,triple jump,29,F,0
15.03,0.0,Yulimar ROJAS,1995-10-21,VEN,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",2020-02-09,triple jump,24,F,1
15.03,0.0,Shanieka RICKETTS,1992-02-02,JAM,"Hayward Field, Eugene, OR (USA)",2023-09-16,triple jump,31,F,0
15.02,0.0,Ashia HANSEN,1971-12-05,GBR,"Green Dome, Maebashi (JPN) (i)",1999-03-07,triple jump,27,F,1
15.02,+0.5,Trecia Kaye SMITH,1975-11-05,JAM,"Olympic Stadium, Athina (GRE)",2004-08-23,triple jump,28,F,0
15.02,+1.3,Tatyana LEBEDEVA,1976-07-21,RUS,Madrid (ESP),2006-07-17,triple jump,29,F,0
15.02,+0.9,Anna PYATYKH,1981-04-04,RUS,"Ullevi Stadium, Göteborg (SWE)",2006-08-09,triple jump,25,F,0
15.02,+1.1,Yargelis SAVIGNE,1984-11-13,CUB,Villeneuve d'Ascq (FRA),2008-06-27,triple jump,23,F,0
15.02,-0.4,Yulimar ROJAS,1995-10-21,VEN,"Moratalaz, Madrid (ESP)",2016-06-23,triple jump,20,F,0
15.02,+2.7,Shanieka RICKETTS,1992-02-02,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,triple jump,29,F,0
15.02,+1.9,Maryna BEKH-ROMANCHUK,1995-07-18,UKR,"Olympiastadion, München (GER)",2022-08-19,triple jump,27,F,0
15.02,-0.4,Thea LAFOND,1994-04-05,DMA,"Stade de France, Paris (FRA)",2024-08-03,triple jump,30,F,0
15.01,0.0,Inna LASOVSKAYA,1969-12-17,RUS,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-08,triple jump,27,F,1
15.01,+1.9,Rodica MATEESCU,1971-03-13,ROU,Lille (FRA),1998-07-11,triple jump,27,F,0
15.01,+1.1,Tatyana LEBEDEVA,1976-07-21,RUS,Chania (GRE),2000-06-14,triple jump,23,F,0
15.01,0.0,Ashia HANSEN,1971-12-05,GBR,"National Indoor Arena, Birmingham (GBR) (i)",2003-03-15,triple jump,31,F,1
15.01,0.0,Francoise MBANGO ETONE,1976-04-14,CMR,"Stade Louis II, Monaco (MON)",2004-09-19,triple jump,28,F,0
15.01,+2.2,Chrysopigi DEVETZI,1976-01-02,GRE,Athina (GRE),2007-06-15,triple jump,31,F,0
15.01,+1.0,Patrícia MAMONA,1988-11-21,POR,"National Stadium, Tokyo (JPN)",2021-08-01,triple jump,32,F,0
15.01,-1.0,Yulimar ROJAS,1995-10-21,VEN,"Stade Louis II, Monaco (MON)",2022-08-10,triple jump,26,F,0
15.01,+0.3,Shanieka RICKETTS,1992-02-02,JAM,"Boudewijnstadion, Bruxelles (BEL)",2023-09-08,triple jump,31,F,0
15.01,0.0,Thea LAFOND,1994-04-05,DMA,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-03,triple jump,29,F,1
15.0,+2.5,Tatyana LEBEDEVA,1976-07-21,RUS,Rethymno (GRE),2000-06-10,triple jump,23,F,0
15.0,+1.3,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Sydney (AUS)",2000-09-24,triple jump,24,F,0
15.0,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,Moskva (RUS) (i),2001-02-18,triple jump,24,F,1
15.0,+3.1,Ashia HANSEN,1971-12-05,GBR,"Olympiastadion, München (GER)",2002-08-10,triple jump,30,F,0
15.0,0.0,Yamilé ALDAMA,1972-08-14,CUB,Ostrava (CZE),2003-06-12,triple jump,30,F,0
15.0,+0.4,Yamilé ALDAMA,1972-08-14,CUB,Trikala (GRE),2003-06-24,triple jump,30,F,0
15.0,+0.6,Tatyana LEBEDEVA,1976-07-21,RUS,Trikala (GRE),2003-06-24,triple jump,26,F,0
15.0,+0.2,Yamilé ALDAMA,1972-08-14,CUB,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,triple jump,31,F,0
15.0,+1.2,Kéne NDOYE,1978-11-20,SEN,Herakleion (GRE),2004-07-04,triple jump,25,F,0
15.0,+1.2,Tatyana LEBEDEVA,1976-07-21,RUS,Torino (ITA),2006-06-06,triple jump,29,F,0
15.0,+2.2,Yargelis SAVIGNE,1984-11-13,CUB,Bilbao (ESP),2009-06-20,triple jump,24,F,0
15.0,+1.1,Yargelis SAVIGNE,1984-11-13,CUB,"Olympic Stadium, Athina (GRE)",2009-07-13,triple jump,24,F,0
15.0,+3.0,Nadezhda ALYOKHINA,1978-09-22,RUS,Saransk (RUS),2010-07-15,triple jump,31,F,0
15.0,+2.1,Liadagmis POVEA,1996-02-06,CUB,La Habana (CUB),2019-05-18,triple jump,23,F,0
15.0,+0.1,Maryna BEKH-ROMANCHUK,1995-07-18,UKR,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,triple jump,28,F,0
14.99,-0.2,Anna BIRYUKOVA,1967-09-27,RUS,"Stade Louis II, Monaco (MON)",1995-09-09,triple jump,27,F,0
14.99,+6.8,Olena HOVOROVA,1973-09-18,UKR,Palma de Mallorca (ESP),1999-07-11,triple jump,25,F,0
14.99,+0.7,Tatyana LEBEDEVA,1976-07-21,RUS,"Crystal Palace, London (GBR)",2003-08-08,triple jump,27,F,0
14.99,+0.1,Yamilé ALDAMA,1972-08-14,CUB,"Stade Louis II, Monaco (MON)",2003-09-13,triple jump,31,F,0
14.99,-0.1,Yamilé ALDAMA,1972-08-14,SUD,"Olympic Stadium, Athina (GRE)",2004-08-23,triple jump,32,F,0
14.99,+0.7,Yargelis SAVIGNE,1984-11-13,CUB,Caracas (VEN),2007-05-11,triple jump,22,F,0
14.99,-0.3,Yargelis SAVIGNE,1984-11-13,CUB,"National Stadium, Beijing (CHN)",2008-08-15,triple jump,23,F,0
14.99,+0.7,Yargelis SAVIGNE,1984-11-13,CUB,"Stade Olympique de la Pontaise, Lausanne (SUI)",2010-07-08,triple jump,25,F,0
14.99,-0.1,Yargelis SAVIGNE,1984-11-13,CUB,"Stade de France, Paris-St-Denis (FRA)",2011-07-08,triple jump,26,F,0
14.99,+1.7,Caterine IBARGUEN,1984-02-12,COL,Bogotá (COL),2011-08-13,triple jump,27,F,0
14.99,+0.2,Olha SALADUKHA,1983-06-04,UKR,"Olympiastadion, Helsinki (FIN)",2012-06-29,triple jump,29,F,0
14.98,+1.8,Sofiya BOZHANOVA,1967-10-04,BUL,Stara Zagora (BUL),1994-07-16,triple jump,26,F,0
14.98,+1.1,Inna LASOVSKAYA,1969-12-17,RUS,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,triple jump,26,F,0
14.98,-0.6,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,triple jump,25,F,0
14.98,+0.5,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,Rovereto (ITA),1998-08-26,triple jump,27,F,0
14.98,+0.9,Tatyana LEBEDEVA,1976-07-21,RUS,"International Stadium, Gateshead (GBR)",2000-07-16,triple jump,23,F,0
14.98,+1.1,Yamilé ALDAMA,1972-08-14,CUB,Florø (NOR),2003-05-31,triple jump,30,F,0
14.98,-0.4,Yamilé ALDAMA,1972-08-14,CUB,Birmingham (GBR),2003-07-27,triple jump,30,F,0
14.98,+0.2,Baya RAHOULI,1979-07-27,ALG,Almería (ESP),2005-07-01,triple jump,25,F,0
14.98,+0.6,Olha SALADUKHA,1983-06-04,UKR,"Hayward Field, Eugene, OR (USA)",2011-06-04,triple jump,28,F,0
14.98,-0.4,Olga RYPAKOVA,1984-11-30,KAZ,"Olympic Stadium, London (GBR)",2012-08-05,triple jump,27,F,0
14.98,+3.8,Caterine IBARGUEN,1984-02-12,COL,Medellín (COL),2014-06-27,triple jump,30,F,0
14.98,-0.6,Caterine IBARGUEN,1984-02-12,COL,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,triple jump,30,F,0
14.98,+2.3,Yekaterina KONEVA,1988-09-25,RUS,"Olympic Stadium, Cheboksary (RUS)",2015-06-20,triple jump,26,F,0
14.98,+0.8,Yulimar ROJAS,1995-10-21,VEN,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,triple jump,20,F,0
14.98,0.0,Yulimar ROJAS,1995-10-21,VEN,"Stade Louis II, Monaco (MON)",2019-07-11,triple jump,23,F,0
14.98,+1.2,Shanieka RICKETTS,1992-02-02,JAM,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,triple jump,29,F,0
14.98,+0.8,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,San Salvador (ESA),2023-07-05,triple jump,21,F,0
14.97,+0.9,Yolanda CHEN,1961-07-26,RUS,Moskva (RUS),1993-06-18,triple jump,31,F,0
14.97,-0.2,Iva PRANDZHEVA,1972-02-15,BUL,"Stade Olympique de la Pontaise, Lausanne (SUI)",1995-07-05,triple jump,23,F,0
14.97,+0.5,Inna LASOVSKAYA,1969-12-17,RUS,St. Petersburg (RUS),1996-07-05,triple jump,26,F,0
14.97,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,Samara (RUS) (i),2004-01-29,triple jump,27,F,1
14.97,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,Moskva (RUS) (i),2004-02-01,triple jump,27,F,1
14.97,+0.3,Tatyana LEBEDEVA,1976-07-21,RUS,"Stadio Quercia, Rovereto (ITA)",2007-09-12,triple jump,31,F,0
14.97,-0.5,Yargelis SAVIGNE,1984-11-13,CUB,La Habana (CUB),2009-07-03,triple jump,24,F,0
14.96,+0.6,Rodica MATEESCU,1971-03-13,ROU,Chania (GRE),1998-05-27,triple jump,27,F,0
14.96,+1.0,Ashia HANSEN,1971-12-05,GBR,"Olympiastadion, München (GER)",1999-09-11,triple jump,27,F,0
14.96,+0.7,Olena HOVOROVA,1973-09-18,UKR,"Olympic Stadium, Sydney (AUS)",2000-09-24,triple jump,27,F,0
14.96,-0.3,Tatyana LEBEDEVA,1976-07-21,RUS,"Stade Louis II, Monaco (MON)",2004-09-19,triple jump,28,F,0
14.96,+1.9,Olga RYPAKOVA,1984-11-30,KAZ,Almaty (KAZ),2011-07-27,triple jump,26,F,0
14.96,-0.2,Caterine IBARGUEN,1984-02-12,COL,"Stade Louis II, Monaco (MON)",2016-07-15,triple jump,32,F,0
14.96,-0.3,Yulimar ROJAS,1995-10-21,VEN,Andújar (ESP),2017-06-02,triple jump,21,F,0
14.96,+0.1,Caterine IBARGUEN,1984-02-12,COL,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2018-07-13,triple jump,34,F,0
14.96,+0.3,Maryna BEKH-ROMANCHUK,1995-07-18,UKR,"Letzigrund, Zürich (SUI)",2022-09-08,triple jump,27,F,0
14.96,-0.2,Yulimar ROJAS,1995-10-21,VEN,"Estadio Vallehermoso, Madrid (ESP)",2023-06-11,triple jump,27,F,0
14.96,+0.1,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,triple jump,21,F,0
14.96,+1.7,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Stade Louis II, Monaco (MON)",2024-07-12,triple jump,22,F,0
14.95,-0.2,Inessa KRAVETS,1966-10-05,URS,Moskva (URS),1991-06-10,triple jump,24,F,0
14.95,0.0,Iva PRANDZHEVA,1972-02-15,BUL,Zürich (SUI),1995-08-16,triple jump,23,F,0
14.95,+1.1,Francoise MBANGO ETONE,1976-04-14,CMR,Radés (TUN),2002-08-06,triple jump,26,F,0
14.95,+1.1,Yamilé ALDAMA,1972-08-14,SUD,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,triple jump,31,F,0
14.95,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-11,triple jump,29,F,1
14.95,+1.6,Francoise MBANGO ETONE,1976-04-14,CMR,Barcelona (ESP),2008-07-19,triple jump,32,F,0
14.95,+2.9,Yargelis SAVIGNE,1984-11-13,CUB,Barcelona (ESP),2008-07-19,triple jump,23,F,0
14.95,+1.3,Yargelis SAVIGNE,1984-11-13,CUB,"Olympiastadion, Berlin (GER)",2009-08-17,triple jump,24,F,0
14.95,-0.2,Yargelis SAVIGNE,1984-11-13,CUB,La Habana (CUB),2011-03-19,triple jump,26,F,0
14.95,+0.9,Caterine IBARGUEN,1984-02-12,COL,Medellín (COL),2012-04-28,triple jump,28,F,0
