Mark,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,Eberstadt (GER),2014-08-22,high jump,23,M,0
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,Athlone (IRL) (i),2015-02-18,high jump,23,M,1
2.41,Mutaz Essa BARSHIM,1991-06-24,QAT,"Hayward Field, Eugene, OR (USA)",2015-05-30,high jump,23,M,0
2.4,Rudolf POVARNITSYN,1962-06-13,URS,Donetsk (URS),1985-08-11,high jump,23,M,0
2.4,Carlo THRÄNHARDT,1957-07-05,FRG,Simmerath (FRG) (i),1987-01-16,high jump,29,M,1
2.4,Patrik SJÖBERG,1965-01-05,SWE,Berlin (GER) (i),1987-02-27,high jump,22,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1989-03-12,high jump,21,M,0
2.4,Patrik SJÖBERG,1965-01-05,SWE,Bruxelles (BEL),1989-08-05,high jump,24,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Bogotá (COL),1989-08-13,high jump,21,M,0
2.4,Sorin MATEI,1963-07-06,ROU,Bratislava (TCH),1990-06-20,high jump,26,M,0
2.4,Hollis CONWAY,1967-01-08,USA,"Palacio de los Deportes, Sevilla (ESP) (i)",1991-03-10,high jump,24,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Paris-St-Denis (FRA),1991-07-19,high jump,23,M,0
2.4,Charles AUSTIN,1967-12-19,USA,"Letzigrund, Zürich (SUI)",1991-08-07,high jump,23,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),1993-05-22,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1993-07-23,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,high jump,25,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Wuppertal (GER) (i),1994-02-04,high jump,26,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Birmingham (GBR) (i),1994-02-26,high jump,26,M,1
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Eberstadt (GER),1994-07-10,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Nice (FRA),1994-07-18,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,St. Petersburg (RUS),1994-07-29,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,"Crystal Palace, London (GBR)",1994-09-11,high jump,26,M,0
2.4,Javier SOTOMAYOR,1967-10-13,CUB,Mar del Plata (ARG),1995-03-25,high jump,27,M,0
2.4,Vyacheslav VORONIN,1974-04-05,RUS,"Crystal Palace, London (GBR)",2000-08-05,high jump,26,M,0
2.4,Stefan HOLM,1976-05-25,SWE,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,high jump,28,M,1
2.4,Ivan UKHOV,1986-03-29,RUS,"Peace and Friendship Stadium, Piraeus (GRE) (i)",2009-02-25,high jump,22,M,1
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,"Hayward Field, Eugene, OR (USA)",2013-06-01,high jump,21,M,0
2.4,Aleksey DMITRIK,1984-04-12,RUS,Arnstadt (GER) (i),2014-02-08,high jump,29,M,1
2.4,Derek DROUIN,1990-03-06,CAN,"Des Moines, IA (USA)",2014-04-25,high jump,24,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,Tokyo (JPN),2014-05-11,high jump,24,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,high jump,24,M,0
2.4,Andrii PROTSENKO,1988-05-20,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,high jump,26,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Louis II, Monaco (MON)",2014-07-18,high jump,24,M,0
2.4,Bohdan BONDARENKO,1989-08-30,UKR,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,high jump,25,M,0
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,Banská Bystrica (SVK) (i),2015-02-04,high jump,23,M,1
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,Opole (POL),2016-06-11,high jump,24,M,0
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,"Alexander Stadium, Birmingham (GBR)",2017-08-20,high jump,26,M,0
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,Eberstadt (GER),2017-08-27,high jump,26,M,0
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,high jump,26,M,0
2.4,Mutaz Essa BARSHIM,1991-06-24,QAT,"Bregyó Athletic Center, Székesfehérvár (HUN)",2018-07-02,high jump,27,M,0
2.39,Jianhua ZHU,1963-05-29,CHN,Eberstadt (GER),1984-06-10,high jump,21,M,0
2.39,Dietmar MÖGENBURG,1961-08-15,FRG,Köln (GER) (i),1985-02-24,high jump,23,M,1
2.39,Patrik SJÖBERG,1965-01-05,SWE,Göteborg (SWE),1987-06-27,high jump,22,M,0
2.39,Patrik SJÖBERG,1965-01-05,SWE,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-05,high jump,23,M,1
2.39,Hollis CONWAY,1967-01-08,USA,"Norman, OK (USA)",1989-07-30,high jump,22,M,0
2.39,Ralf SONN,1967-01-17,GER,Berlin (GER) (i),1991-03-01,high jump,24,M,1
2.39,Patrik SJÖBERG,1965-01-05,SWE,"The Sky Dome, Toronto (CAN) (i)",1993-03-14,high jump,28,M,1
2.39,Javier SOTOMAYOR,1967-10-13,CUB,Pau (FRA),1993-06-26,high jump,25,M,0
2.39,Javier SOTOMAYOR,1967-10-13,CUB,Madrid (ESP) (i),1994-02-11,high jump,26,M,1
2.39,Charles AUSTIN,1967-12-19,USA,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,28,M,0
2.39,Ivan UKHOV,1986-03-29,RUS,Moskva (RUS) (i),2007-01-28,high jump,20,M,1
2.39,Ivan UKHOV,1986-03-29,RUS,Cheboksary (RUS),2012-07-05,high jump,26,M,0
2.39,Mutaz Essa BARSHIM,1991-06-24,QAT,"Stade Olympique de la Pontaise, Lausanne (SUI)",2012-08-23,high jump,21,M,0
2.39,Bohdan BONDARENKO,1989-08-30,UKR,"Le Grand Stade, Marrakech (MAR)",2014-06-08,high jump,24,M,0
2.39,Gianmarco TAMBERI,1992-06-01,ITA,"Stade Louis II, Monaco (MON)",2016-07-15,high jump,24,M,0
2.38,Jianhua ZHU,1963-05-29,CHN,Shanghai (CHN),1983-09-22,high jump,20,M,0
2.38,Patrik SJÖBERG,1965-01-05,SWE,Berlin (GER) (i),1985-02-22,high jump,20,M,1
2.38,Patrik SJÖBERG,1965-01-05,SWE,Eberstadt (GER),1985-06-16,high jump,20,M,0
2.38,Igor PAKLIN,1963-06-15,URS,Rieti (ITA),1986-09-07,high jump,23,M,0
2.38,Patrik SJÖBERG,1965-01-05,SWE,"Arena Stade Couvert, Liévin (FRA) (i)",1987-02-21,high jump,22,M,1
2.38,Carlo THRÄNHARDT,1957-07-05,FRG,Berlin (GER) (i),1987-02-27,high jump,29,M,1
2.38,Igor PAKLIN,1963-06-15,URS,"Hoosier Dome, Indianapolis, IN (USA) (i)",1987-03-07,high jump,23,M,1
2.38,Gennadiy AVDEYENKO,1963-11-04,URS,"Hoosier Dome, Indianapolis, IN (USA) (i)",1987-03-07,high jump,23,M,1
2.38,Patrik SJÖBERG,1965-01-05,SWE,"Stadio Olimpico, Roma (ITA)",1987-09-06,high jump,22,M,0
2.38,Igor PAKLIN,1963-06-15,URS,"Stadio Olimpico, Roma (ITA)",1987-09-06,high jump,24,M,0
2.38,Gennadiy AVDEYENKO,1963-11-04,URS,"Stadio Olimpico, Roma (ITA)",1987-09-06,high jump,23,M,0
2.38,Gennadiy AVDEYENKO,1963-11-04,URS,Seoul (KOR),1987-10-02,high jump,23,M,0
2.38,Patrik SJÖBERG,1965-01-05,SWE,Gent (BEL) (i),1988-02-07,high jump,23,M,1
2.38,Patrik SJÖBERG,1965-01-05,SWE,Genk (BEL) (i),1988-02-07,high jump,23,M,1
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Kvarnsveden (SWE),1988-06-19,high jump,20,M,0
2.38,Sergey MALCHENKO,1963-11-02,URS,Banská Bystrica (TCH),1988-09-04,high jump,24,M,0
2.38,Gennadiy AVDEYENKO,1963-11-04,URS,"Olympic Stadium, Seoul (KOR)",1988-09-25,high jump,24,M,0
2.38,Hollis CONWAY,1967-01-08,USA,"Provo, UT (USA)",1989-06-03,high jump,22,M,0
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Paris-St-Denis (FRA),1989-06-23,high jump,21,M,0
2.38,Hollis CONWAY,1967-01-08,USA,Malmö (SWE),1990-08-07,high jump,23,M,0
2.38,Hollis CONWAY,1967-01-08,USA,Bruxelles (BEL),1990-08-10,high jump,23,M,0
2.38,Charles AUSTIN,1967-12-19,USA,"National Stadium, Tokyo (JPN)",1991-09-01,high jump,23,M,0
2.38,Patrik SJÖBERG,1965-01-05,SWE,"Palazzo dello Sport, Genova (ITA) (i)",1992-03-01,high jump,27,M,1
2.38,Hollis CONWAY,1967-01-08,USA,Eberstadt (GER),1993-07-03,high jump,26,M,0
2.38,Dragutin TOPIĆ,1971-03-12,YUG,Beograd (SRB),1993-08-01,high jump,22,M,0
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Rhede (GER),1993-08-06,high jump,25,M,0
2.38,Steve SMITH,1973-03-29,GBR,Wuppertal (GER) (i),1994-02-04,high jump,20,M,1
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Berlin (GER) (i),1994-03-04,high jump,26,M,1
2.38,Wolf-Hendrik BEYER,1972-02-14,GER,Weinheim (GER) (i),1994-03-18,high jump,22,M,1
2.38,Sorin MATEI,1963-07-06,ROU,Wuppertal (GER) (i),1995-02-03,high jump,31,M,1
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Liévin (FRA) (i),1995-02-19,high jump,27,M,1
2.38,Javier SOTOMAYOR,1967-10-13,CUB,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-12,high jump,27,M,1
2.38,Troy KEMP,1966-06-18,BAH,Nice (FRA),1995-07-12,high jump,29,M,0
2.38,Javier SOTOMAYOR,1967-10-13,CUB,Liévin (FRA) (i),1996-02-18,high jump,28,M,1
2.38,Artur PARTYKA,1969-07-25,POL,Eberstadt (GER),1996-08-18,high jump,27,M,0
2.38,Matt HEMINGWAY,1972-10-24,USA,"Atlanta, GA (USA) (i)",2000-03-04,high jump,27,M,1
2.38,Yaroslav RYBAKOV,1980-11-22,RUS,Stockholm (SWE) (i),2005-02-15,high jump,24,M,1
2.38,Jacques FREITAG,1982-06-11,RSA,Oudtshoorn (RSA),2005-03-05,high jump,22,M,0
2.38,Yaroslav RYBAKOV,1980-11-22,RUS,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,high jump,24,M,1
2.38,Andriy SOKOLOVSKIY,1978-07-16,UKR,"Stadio Olimpico, Roma (ITA)",2005-07-08,high jump,26,M,0
2.38,Yaroslav RYBAKOV,1980-11-22,RUS,Arnstadt (GER) (i),2007-02-03,high jump,26,M,1
2.38,Stefan HOLM,1976-05-25,SWE,Göteborg (SWE) (i),2007-02-25,high jump,30,M,1
2.38,Linus THÖRNBLAD,1985-03-06,SWE,Göteborg (SWE) (i),2007-02-25,high jump,21,M,1
2.38,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS) (i),2008-02-10,high jump,27,M,1
2.38,Andrey SILNOV,1984-09-09,RUS,"Crystal Palace, London (GBR)",2008-07-25,high jump,23,M,0
2.38,Ivan UKHOV,1986-03-29,RUS,Banská Bystrica (SVK) (i),2010-03-04,high jump,23,M,1
2.38,Ivan UKHOV,1986-03-29,RUS,Hustopeče (CZE) (i),2011-01-29,high jump,24,M,1
2.38,Ivan UKHOV,1986-03-29,RUS,Banská Bystrica (SVK) (i),2011-02-09,high jump,24,M,1
2.38,Ivan UKHOV,1986-03-29,RUS,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",2011-03-05,high jump,24,M,1
2.38,Bohdan BONDARENKO,1989-08-30,UKR,"Olympic Stadium, London (GBR)",2013-07-26,high jump,23,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,high jump,22,M,0
2.38,Derek DROUIN,1990-03-06,CAN,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,high jump,23,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Ergo Arena, Sopot (POL) (i)",2014-03-09,high jump,22,M,1
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,high jump,23,M,0
2.38,Bohdan BONDARENKO,1989-08-30,UKR,"Bregyó Athletic Center, Székesfehérvár (HUN)",2014-07-08,high jump,24,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Alexander Stadium, Birmingham (GBR)",2014-08-24,high jump,23,M,0
2.38,Bohdan BONDARENKO,1989-08-30,UKR,"Alexander Stadium, Birmingham (GBR)",2014-08-24,high jump,24,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Shanghai Stadium, Shanghai (CHN)",2015-05-17,high jump,23,M,0
2.38,Guowei ZHANG,1991-06-04,CHN,"Hayward Field, Eugene, OR (USA)",2015-05-30,high jump,23,M,0
2.38,Gianmarco TAMBERI,1992-06-01,ITA,Hustopeče (CZE) (i),2016-02-13,high jump,23,M,1
2.38,Derek DROUIN,1990-03-06,CAN,Eberstadt (GER),2016-07-17,high jump,26,M,0
2.38,Derek DROUIN,1990-03-06,CAN,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-16,high jump,26,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Bislett Stadion, Oslo (NOR)",2017-06-15,high jump,25,M,0
2.38,Danil LYSENKO,1997-05-19,ANA,Eberstadt (GER),2017-08-27,high jump,20,M,0
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,Tehran (IRI) (i),2018-02-01,high jump,26,M,1
2.38,Mutaz Essa BARSHIM,1991-06-24,QAT,"Mestský Stadion, Ostrava (CZE)",2018-06-13,high jump,26,M,0
2.38,Danil LYSENKO,1997-05-19,RUS,"Salyut Geraklion Arena, Moskva (RUS) (i)",2023-01-29,high jump,25,M,1
2.37,Jianhua ZHU,1963-05-29,CHN,Beijing (CHN),1983-06-11,high jump,20,M,0
2.37,Carlo THRÄNHARDT,1957-07-05,FRG,Berlin (GER) (i),1984-02-24,high jump,26,M,1
2.37,Valeriy SEREDA,1959-06-30,URS,Rieti (ITA),1984-09-02,high jump,25,M,0
2.37,Carlo THRÄNHARDT,1957-07-05,FRG,Rieti (ITA),1984-09-02,high jump,27,M,0
2.37,Igor PAKLIN,1963-06-15,URS,Köln (GER),1986-08-17,high jump,23,M,0
2.37,Patrik SJÖBERG,1965-01-05,SWE,Genk (BEL) (i),1987-02-08,high jump,22,M,1
2.37,Patrik SJÖBERG,1965-01-05,SWE,Gent (BEL) (i),1987-02-08,high jump,22,M,1
2.37,Patrik SJÖBERG,1965-01-05,SWE,Madrid (ESP) (i),1987-02-12,high jump,22,M,1
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Athina (GRE),1987-06-20,high jump,19,M,0
2.37,Dietmar MÖGENBURG,1961-08-15,FRG,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-05,high jump,26,M,1
2.37,Tom MCCANTS,1962-11-27,USA,"Columbus, OH (USA)",1988-05-08,high jump,25,M,0
2.37,Jerome CARTER,1963-03-25,USA,"Columbus, OH (USA)",1988-05-08,high jump,25,M,0
2.37,Sorin MATEI,1963-07-06,ROU,Bucureşti (ROU),1988-06-11,high jump,24,M,0
2.37,Patrik SJÖBERG,1965-01-05,SWE,Nice (FRA),1988-07-10,high jump,23,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Simmerath (FRG) (i),1989-01-29,high jump,21,M,1
2.37,Hollis CONWAY,1967-01-08,USA,"Indianapolis, IN (USA) (i)",1989-03-11,high jump,22,M,1
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Bratislava (TCH),1989-06-14,high jump,21,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Oslo (NOR),1989-07-01,high jump,21,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Stockholm (SWE),1989-07-03,high jump,21,M,0
2.37,Gennadiy AVDEYENKO,1963-11-04,URS,Stockholm (SWE),1989-07-03,high jump,25,M,0
2.37,Patrik SJÖBERG,1965-01-05,SWE,"New York, NY (USA)",1989-07-22,high jump,24,M,0
2.37,Hollis CONWAY,1967-01-08,USA,Helsinki (FIN),1990-06-27,high jump,23,M,0
2.37,Dragutin TOPIĆ,1971-03-12,YUG,"Deveti Septemvri Stadium, Plovdiv (BUL)",1990-08-12,high jump,19,M,0
2.37,Hollis CONWAY,1967-01-08,USA,Zürich (SUI),1990-08-15,high jump,23,M,0
2.37,Sorin MATEI,1963-07-06,ROU,Zürich (SUI),1990-08-15,high jump,27,M,0
2.37,Sergey DYMCHENKO,1967-08-23,URS,Kiev (URS),1990-09-16,high jump,23,M,0
2.37,Artur PARTYKA,1969-07-25,POL,Sulingen (GER) (i),1991-02-03,high jump,21,M,1
2.37,Artur PARTYKA,1969-07-25,POL,"Palacio de los Deportes, Sevilla (ESP) (i)",1991-03-10,high jump,21,M,1
2.37,Hollis CONWAY,1967-01-08,USA,Sheffield (GBR),1991-07-25,high jump,24,M,0
2.37,Steve SMITH,1973-03-29,GBR,"Olympic Stadium, Seoul (KOR)",1992-09-20,high jump,19,M,0
2.37,Hollis CONWAY,1967-01-08,USA,"New York, NY (USA) (i)",1993-02-26,high jump,26,M,1
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Chicago, IL (USA) (i)",1993-03-05,high jump,25,M,1
2.37,Steve SMITH,1973-03-29,GBR,"The Sky Dome, Toronto (CAN) (i)",1993-03-14,high jump,19,M,1
2.37,Troy KEMP,1966-06-18,BAH,Pau (FRA),1993-06-26,high jump,27,M,0
2.37,Artur PARTYKA,1969-07-25,POL,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,high jump,24,M,0
2.37,Steve SMITH,1973-03-29,GBR,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,high jump,20,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Frankfurt (GER) (i),1994-02-09,high jump,26,M,1
2.37,Dalton GRANT,1966-04-08,GBR,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1994-03-13,high jump,27,M,1
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Stadio Olimpico, Roma (ITA)",1994-06-08,high jump,26,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Stade Olympique de la Pontaise, Lausanne (SUI)",1994-07-06,high jump,26,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Madrid (ESP),1994-09-06,high jump,26,M,0
2.37,Artur PARTYKA,1969-07-25,POL,Balingen (GER) (i),1995-02-11,high jump,25,M,1
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Eberstadt (GER),1995-07-09,high jump,27,M,0
2.37,Troy KEMP,1966-06-18,BAH,Eberstadt (GER),1995-07-09,high jump,29,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Helmántico, Salamanca (ESP)",1995-07-18,high jump,27,M,0
2.37,Troy KEMP,1966-06-18,BAH,"Ullevi Stadium, Göteborg (SWE)",1995-08-08,high jump,29,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Ullevi Stadium, Göteborg (SWE)",1995-08-08,high jump,27,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Paris (FRA) (i),1996-02-11,high jump,28,M,1
2.37,Charles AUSTIN,1967-12-19,USA,"Atlanta, GA (USA) (i)",1996-03-01,high jump,28,M,1
2.37,Charles AUSTIN,1967-12-19,USA,"San Marcos, TX (USA)",1996-04-20,high jump,28,M,0
2.37,Artur PARTYKA,1969-07-25,POL,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,27,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,"Olympic Stadium, Athina (GRE)",1997-08-06,high jump,29,M,0
2.37,Javier SOTOMAYOR,1967-10-13,CUB,Maracaibo (VEN),1998-08-20,high jump,30,M,0
2.37,Vyacheslav VORONIN,1974-04-05,RUS,"La Cartuja, Sevilla (ESP)",1999-08-23,high jump,25,M,0
2.37,Artur PARTYKA,1969-07-25,POL,Spala (POL) (i),2000-02-18,high jump,30,M,1
2.37,Vyacheslav VORONIN,1974-04-05,RUS,Glasgow (GBR) (i),2000-03-05,high jump,25,M,1
2.37,Vyacheslav VORONIN,1974-04-05,RUS,Eberstadt (GER),2001-08-19,high jump,27,M,0
2.37,Jacques FREITAG,1982-06-11,RSA,Durban (RSA),2002-03-23,high jump,19,M,0
2.37,Stefan HOLM,1976-05-25,SWE,Stockholm (SWE) (i),2004-02-12,high jump,27,M,1
2.37,Yaroslav RYBAKOV,1980-11-22,RUS,Arnstadt (GER) (i),2005-02-05,high jump,24,M,1
2.37,Jaroslav BÁBA,1984-09-02,CZE,Arnstadt (GER) (i),2005-02-05,high jump,20,M,1
2.37,Yaroslav RYBAKOV,1980-11-22,RUS,Arnstadt (GER) (i),2006-02-04,high jump,25,M,1
2.37,Ivan UKHOV,1986-03-29,RUS,Arnstadt (GER) (i),2006-02-04,high jump,19,M,1
2.37,Yaroslav RYBAKOV,1980-11-22,RUS,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-11,high jump,25,M,1
2.37,Andrey SILNOV,1984-09-09,RUS,"Stade Louis II, Monaco (MON)",2006-08-20,high jump,21,M,0
2.37,Stefan HOLM,1976-05-25,SWE,Banská Bystrica (SVK) (i),2007-02-13,high jump,30,M,1
2.37,Andrey SILNOV,1984-09-09,RUS,Arnstadt (GER) (i),2008-02-02,high jump,23,M,1
2.37,Stefan HOLM,1976-05-25,SWE,Malmö (SWE) (i),2008-02-24,high jump,31,M,1
2.37,Stefan HOLM,1976-05-25,SWE,"Olympic Stadium, Athina (GRE)",2008-07-13,high jump,32,M,0
2.37,Ivan UKHOV,1986-03-29,RUS,Moskva (RUS) (i),2009-02-15,high jump,22,M,1
2.37,Ivan UKHOV,1986-03-29,RUS,Hustopeče (CZE) (i),2010-01-23,high jump,23,M,1
2.37,Jesse WILLIAMS,1983-12-27,USA,"Hayward Field, Eugene, OR (USA)",2011-06-26,high jump,27,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,Hangzhou (CHN) (i),2012-02-19,high jump,20,M,1
2.37,Ivan UKHOV,1986-03-29,RUS,Opole (POL),2012-06-06,high jump,26,M,0
2.37,Andrey SILNOV,1984-09-09,RUS,Cheboksary (RUS),2012-07-05,high jump,27,M,0
2.37,Robbie GRABARZ,1987-10-03,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2012-08-23,high jump,24,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,"CSKA, Moskva (RUS) (i)",2013-02-03,high jump,21,M,1
2.37,Erik KYNARD,1991-02-03,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,high jump,22,M,0
2.37,Derek DROUIN,1990-03-06,CAN,"Suhaim bin Hamad Stadium, Doha (QAT)",2014-05-09,high jump,24,M,0
2.37,Erik KYNARD,1991-02-03,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2014-05-09,high jump,23,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",2014-05-09,high jump,22,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,"Stade Louis II, Monaco (MON)",2014-07-18,high jump,23,M,0
2.37,Bohdan BONDARENKO,1989-08-30,UKR,"Le Grand Stade, Marrakech (MAR)",2014-09-13,high jump,25,M,0
2.37,Bohdan BONDARENKO,1989-08-30,UKR,"Todoroki Stadium, Kawasaki (JPN)",2015-05-10,high jump,25,M,0
2.37,Erik KYNARD,1991-02-03,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26,high jump,24,M,0
2.37,Derek DROUIN,1990-03-06,CAN,"CIBC, Toronto (CAN)",2015-07-25,high jump,25,M,0
2.37,Derek DROUIN,1990-03-06,CAN,Eberstadt (GER),2015-08-02,high jump,25,M,0
2.37,Gianmarco TAMBERI,1992-06-01,ITA,Eberstadt (GER),2015-08-02,high jump,23,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,"Alexander Stadium, Birmingham (GBR)",2016-06-05,high jump,24,M,0
2.37,Bohdan BONDARENKO,1989-08-30,UKR,"Stade Louis II, Monaco (MON)",2016-07-15,high jump,26,M,0
2.37,Donald THOMAS,1984-07-01,BAH,"Bregyó Athletic Center, Székesfehérvár (HUN)",2016-07-18,high jump,32,M,0
2.37,Mutaz Essa BARSHIM,1991-06-24,QAT,Opole (POL),2017-06-04,high jump,25,M,0
2.37,Danil LYSENKO,1997-05-19,ANA,Hustopeče (CZE) (i),2018-01-27,high jump,20,M,1
