Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
103,16.95,-1.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,,La Habana (CUB),23 FEB 2018,1166
104,16.94,,Volker MAI,03 MAY 1966,GDR,1,,Erfurt (GER),01 JUN 1984,1158
104,16.94,-0.4,Yoelbi QUESADA,04 AUG 1973,CUB,7,,"National Stadium, Tokyo (JPN)",26 AUG 1991,1160
104,16.94,+0.6,Rene HERNÁNDEZ,18 MAY 1977,CUB,1,,La Habana (CUB),14 JUN 1996,1158
104,16.94,+0.4,Ionuţ PUNGĂ,14 OCT 1979,ROU,1,,"Parc des Sports, Annecy (FRA)",01 AUG 1998,1158
104,16.94,,Teddy TAMGHO,15 JUN 1989,FRA,1,,Bordeaux (FRA) (i),16 FEB 2008,1158
104,16.94,+2.0,Will CLAYE,13 JUN 1991,USA,f2,,"Lubbock, TX (USA)",17 MAY 2009,1158
110,16.93,-0.7,Volker MAI,03 MAY 1966,GDR,1,,"Max-Reimann-Stadion, Cottbus (GDR)",25 AUG 1985,1161
110,16.93,-0.5,David GIRAT,26 AUG 1984,CUB,1,,Bridgetown (BAR),20 JUL 2003,1160
110,16.93,+2.8,Melvin RAFFIN,09 AUG 1998,FRA,1,,Chateauroux (FRA),02 JUL 2016,1141
110,16.93,0.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,3q2,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1157
110,16.93,+7.4,Ethan OLIVIER,07 AUG 2005,NZL,1,,"Coetzenburg Stadium, Stellenbosch (RSA)",06 APR 2024,1113
115,16.92,0.0,Junjie GU,05 MAY 1985,CHN,1,,Changsha (CHN),24 OCT 2003,1156
115,16.92,,Dennis FERNÁNDEZ,23 JAN 1986,CUB,1,,Santiago de Cuba (CUB),24 MAY 2005,1156
115,16.92,+1.0,Alexey FYODOROV,25 MAY 1991,RUS,2,,Moskva (RUS),29 JUN 2010,1156
115,16.92,+0.3,Cristian NÁPOLES,27 NOV 1998,CUB,1,,La Habana (CUB),17 JUN 2016,1156
115,16.92,,Melvin RAFFIN,09 AUG 1998,FRA,5,,"Kombank Arena, Beograd (SRB) (i)",05 MAR 2017,1156
115,16.92,+3.0,Cristian NÁPOLES,27 NOV 1998,CUB,4,,Tignes (FRA),16 AUG 2017,1138
121,16.91,,Héctor MARQUETTI,07 APR 1968,CUB,1,,Caracas (VEN),26 JUL 1987,1155
121,16.91,+2.5,Christian TAYLOR,18 JUN 1990,USA,3,,"Fayetteville, AR (USA)",13 JUN 2009,1140
121,16.91,-0.6,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,,Veracruz (MEX),28 NOV 2014,1158
124,16.90,+1.0,Junjie GU,05 MAY 1985,CHN,1,,Daegu (KOR),30 AUG 2003,1154
124,16.90,+1.7,Alexis COPELLO,12 AUG 1985,CUB,1,,La Habana (CUB),18 MAR 2004,1154
124,16.90,+2.1,Osviel HERNÁNDEZ,31 MAY 1989,CUB,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",11 JUL 2008,1142
124,16.90,+0.4,Shuo CAO,08 OCT 1991,CHN,3,,Jinan (CHN),26 OCT 2009,1154
124,16.90,+0.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,3,,La Habana (CUB),17 JUN 2016,1154
129,16.89,,Khristo MARKOV,27 JAN 1965,BUL,5,,"Scandinavium, Göteborg (SWE) (i)",03 MAR 1984,1153
129,16.89,,Junjie GU,05 MAY 1985,CHN,1,,Guangzhou (CHN),25 AUG 2000,1153
129,16.89,,Aleksandr SERGEYEV,29 JUL 1983,RUS,1,,Moskva (RUS) (i),08 FEB 2002,1153
129,16.89,+1.9,Yordanys DURANONA GARCIA,16 JUN 1988,CUB,1,,Santiago de Cuba (CUB),27 JUN 2007,1153
129,16.89,+1.9,Lázaro MARTÍNEZ,03 NOV 1997,CUB,,,La Habana (CUB),21 FEB 2014,1153
129,16.89,,Martin LAMOU,13 MAY 1999,FRA,1,,Liévin (FRA) (i),18 FEB 2018,1153
135,16.88,+1.4,Khristo MARKOV,27 JAN 1965,BUL,3,,Sofia (BUL),21 MAY 1983,1152
135,16.88,+3.0,Andy HECHAVARRÍA,14 SEP 2000,CUB,3,,La Habana (CUB),08 MAR 2019,1134
137,16.87,+0.5,Andrea DALLAVALLE,31 OCT 1999,ITA,2,,"Stadio Zecchini, Grosseto (ITA)",23 JUL 2017,1151
138,16.86,,Pedro PÉREZ DUENAS,23 FEB 1952,CUB,1,,La Habana (CUB),09 MAY 1971,1150
138,16.86,,Volker MAI,03 MAY 1966,GDR,1,,Senftenberg (GER) (i),17 FEB 1985,1150
138,16.86,+1.5,Yuriy GORBACHENKO,19 JUL 1966,URS,1,,Odessa (URS),15 SEP 1985,1150
138,16.86,,Marian OPREA,06 JUN 1982,ROU,1,,Bucureşti (ROU),10 JUN 2001,1150
138,16.86,+2.7,Yoandri BETANZOS,15 FEB 1982,CUB,5,,Beijing (CHN),31 AUG 2001,1134
143,16.85,+2.3,Junjie GU,05 MAY 1985,CHN,2,,Jinzhou (CHN),07 JUN 2000,1136
143,16.85,+0.8,Teddy TAMGHO,15 JUN 1989,FRA,1,,Franconville (FRA),04 MAY 2008,1149
143,16.85,+0.6,Shuo CAO,08 OCT 1991,CHN,1,,Suzhou (CHN),24 APR 2010,1149
143,16.85,+0.6,Melvin RAFFIN,09 AUG 1998,FRA,2,,Montgeron (FRA),14 MAY 2017,1149
143,16.85,+3.0,Ethan OLIVIER,07 AUG 2005,NZL,,,"McArthur Stadium, Potchefstroom (RSA)",31 MAR 2023,1131
143,16.85,+2.5,Ethan OLIVIER,07 AUG 2005,NZL,1,,"Nga Puna Wai Sports Hub, Christchurch (NZL)",24 FEB 2024,1134
149,16.84,+2.0,Yoandri BETANZOS,15 FEB 1982,CUB,2,,La Habana (CUB),16 FEB 2001,1147
149,16.84,+1.7,David GIRAT,26 AUG 1984,CUB,1,,La Habana (CUB),12 APR 2002,1147
149,16.84,,Viktor KUZNYETSOV,14 JUL 1986,UKR,1,,Kyiv (UKR) (i),14 FEB 2004,1147
149,16.84,+2.4,Shuo CAO,08 OCT 1991,CHN,1,,Hanoi (VIE),04 JUL 2010,1133
149,16.84,+0.9,Shuo CAO,08 OCT 1991,CHN,3,,Guangzhou (CHN),26 NOV 2010,1147
154,16.83,w,Richard DUNCAN,25 DEC 1973,CAN,2,,"Lubbock, TX (USA)",18 MAY 1976,1116
154,16.83,,Aleksandr BESKROVNIY,05 APR 1960,URS,1q1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 AUG 1979,1146
154,16.83,+0.3,Junjie GU,05 MAY 1985,CHN,1,,Shanghai (CHN),14 SEP 2003,1146
154,16.83,0.0,Shujing ZHU,24 MAY 1985,CHN,2,,Guilin (CHN),22 APR 2004,1146
154,16.83,+1.9,Will CLAYE,13 JUN 1991,USA,f2,,"Eugene, OR (USA)",28 JUN 2009,1146
154,16.83,+2.1,Leslie CAESAR,14 JAN 1997,CUB,1,,Edmonton (CAN),01 AUG 2015,1134
154,16.83,+1.0,Nazim BABAYEV,08 OCT 1997,AZE,1,,Baku (AZE),04 JUN 2016,1146
154,16.83,-0.1,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,,Toronto (CAN),10 AUG 2018,1146
154,16.83,+0.7,Ethan OLIVIER,07 AUG 2005,NZL,1,,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",22 JUN 2024,1146
163,16.82,,Khristo MARKOV,27 JAN 1965,BUL,1,,Lappeenranta (FIN),28 JUN 1984,1145
163,16.82,,Volker MAI,03 MAY 1966,GDR,1,,Plovdiv (BUL),05 AUG 1984,1145
163,16.82,-0.5,Yoelbi QUESADA,04 AUG 1973,CUB,1q2,,"Olympic Stadium, Seoul (KOR)",18 SEP 1992,1148
163,16.82,+1.7,Yoandri BETANZOS,15 FEB 1982,CUB,2,,La Habana (CUB),17 JUN 2000,1145
163,16.82,+1.0,Osviel HERNÁNDEZ,31 MAY 1989,CUB,,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",11 JUL 2008,1145
163,16.82,+0.2,Shuo CAO,08 OCT 1991,CHN,,,Hanoi (VIE),04 JUL 2010,1145
163,16.82,+0.4,Lázaro MARTÍNEZ,03 NOV 1997,CUB,4,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1145
163,16.82,+4.1,Cristian NÁPOLES,27 NOV 1998,CUB,3,,La Habana (CUB),13 FEB 2016,1121
163,16.82,+1.2,Cristian NÁPOLES,27 NOV 1998,CUB,1q,,La Habana (CUB),15 MAR 2017,1145
163,16.82,-0.4,Melvin RAFFIN,09 AUG 1998,FRA,3,,"Stadio Zecchini, Grosseto (ITA)",23 JUL 2017,1147
173,16.81,0.0,Greg NEAL,22 JAN 1963,USA,3,,"Provo, UT (USA)",05 JUN 1982,1144
173,16.81,-0.1,Ralf JAROS,13 DEC 1965,FRG,1,,Düsseldorf (GER),23 JUN 1984,1144
173,16.81,+0.5,Shujing ZHU,24 MAY 1985,CHN,2,,Shijiazhuang (CHN),23 MAY 2004,1144
173,16.81,-0.2,Will CLAYE,13 JUN 1991,USA,1,,"Norman, OK (USA)",30 MAY 2009,1145
173,16.81,+0.3,Shuo CAO,08 OCT 1991,CHN,2,,Zhengzhou (CHN),07 SEP 2009,1144
173,16.81,+0.6,Jaydon HIBBERT,17 JAN 2005,JAM,1q1,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1144
179,16.80,NWI,Juan Miguel LÓPEZ,07 APR 1967,CUB,1,,Ciudad de México (MEX),29 JUN 1986,1113
179,16.80,,Allen SIMMS,26 JUL 1982,USA,1,,"Blacksburg, VA (USA) (i)",19 JAN 2001,1143
179,16.80,+2.1,Dennis FERNÁNDEZ,23 JAN 1986,CUB,1,,Windsor (CAN),31 JUL 2005,1131
179,16.80,,Will CLAYE,13 JUN 1991,USA,2,,"College Station, TX (USA) (i)",14 MAR 2009,1143
179,16.80,0.0,Ethan OLIVIER,07 AUG 2005,NZL,1,,"McArthur Stadium, Potchefstroom (RSA)",11 MAY 2024,1143
