Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
20,8.74,-1.2,Dwight PHILLIPS,01 OCT 1977,USA,1,,"Eugene, OR (USA)",07 JUN 2009,1307
23,8.73,+4.6,Carl LEWIS,01 JUL 1961,USA,q,,"Sacramento, CA (USA)",19 JUN 1981,1271
23,8.73,+3.2,Carl LEWIS,01 JUL 1961,USA,q,,"Indianapolis, IN (USA)",17 JUN 1983,1279
23,8.73,+2.6,Mike POWELL,10 NOV 1963,USA,1,,Sestriere (ITA),31 JUL 1991,1283
23,8.73,+4.8,Iván PEDROSO,17 DEC 1972,CUB,1,,Madrid (ESP),20 JUN 1995,1270
23,8.73,+1.2,Irving SALADINO,23 JAN 1983,PAN,1,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1298
28,8.72,-0.2,Carl LEWIS,01 JUL 1961,USA,1,,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1296
28,8.72,+2.2,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA)",24 MAY 1992,1282
28,8.72,+3.9,Carl LEWIS,01 JUL 1961,USA,2,,Sestriere (ITA),31 JUL 1994,1272
31,8.71,-0.4,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",13 MAY 1984,1295
31,8.71,+0.1,Carl LEWIS,01 JUL 1961,USA,1,,"Los Angeles, CA (USA)",19 JUN 1984,1293
31,8.71,+1.9,Iván PEDROSO,17 DEC 1972,CUB,1,,"Helmántico, Salamanca (ESP)",18 JUL 1995,1293
31,8.71,,Sebastian BAYER,11 JUN 1986,GER,1,,"Oval Lingotto, Torino (ITA) (i)",08 MAR 2009,1293
35,8.70,+0.9,Larry MYRICKS,10 MAR 1956,USA,1,,"Houston, TX (USA)",17 JUN 1989,1291
35,8.70,+0.7,Mike POWELL,10 NOV 1963,USA,1,,Salamanca (ESP),27 JUL 1993,1291
35,8.70,+2.5,Iván PEDROSO,17 DEC 1972,CUB,1,,Padova (ITA),16 JUL 1995,1276
35,8.70,+1.6,Iván PEDROSO,17 DEC 1972,CUB,1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1291
39,8.69,+0.5,Tajay GAYLE,02 AUG 1996,JAM,1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1289
40,8.68,+1.0,Carl LEWIS,01 JUL 1961,USA,1q2,,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1287
40,8.68,+4.1,Mike POWELL,10 NOV 1963,USA,1,,"Knoxville, TN (USA)",18 JUN 1994,1263
40,8.68,+4.9,James BECKFORD,09 JAN 1975,JAM,1,,"Odessa, TX (USA)",19 MAY 1995,1258
40,8.68,+1.6,Iván PEDROSO,17 DEC 1972,CUB,1,,Lisboa (POR),17 JUN 1995,1287
40,8.68,+3.7,Marquis DENDY,17 NOV 1992,USA,1,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1265
40,8.68,+1.7,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,Bad Langensalza (GER),30 JUN 2018,1287
46,8.67,+3.3,Carl LEWIS,01 JUL 1961,USA,1,,"Eugene, OR (USA)",20 JUN 1986,1265
46,8.67,+0.4,Carl LEWIS,01 JUL 1961,USA,1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1284
46,8.67,-0.7,Carl LEWIS,01 JUL 1961,USA,1,,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1288
49,8.66,+1.0,Larry MYRICKS,10 MAR 1956,USA,1,,Tokyo (JPN),23 SEP 1987,1282
49,8.66,+2.4,Larry MYRICKS,10 MAR 1956,USA,1,,"Walnut, CA (USA)",22 APR 1989,1268
49,8.66,+0.9,Mike POWELL,10 NOV 1963,USA,1,,Villeneuve d'Ascq (FRA),28 JUN 1990,1282
49,8.66,+4.0,Joe GREENE,17 FEB 1967,USA,2,,Sestriere (ITA),21 JUL 1992,1258
49,8.66,+0.3,Iván PEDROSO,17 DEC 1972,CUB,1,,Linz (AUT),22 AUG 1995,1282
49,8.66,+1.6,Louis TSATOUMAS,12 FEB 1982,GRE,1,,Kalamata (GRE),02 JUN 2007,1282
49,8.66,+1.0,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1282
56,8.65,+0.2,Carl LEWIS,01 JUL 1961,USA,1,,Bruxelles (BEL),24 AUG 1984,1280
56,8.65,+0.7,Carl LEWIS,01 JUL 1961,USA,1,,San José (USA),26 JUN 1987,1280
56,8.65,+1.5,Iván PEDROSO,17 DEC 1972,CUB,1,,Jena (GER),03 JUN 2000,1280
56,8.65,+3.3,Irving SALADINO,23 JAN 1983,PAN,1,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1261
56,8.65,+1.3,Luvo MANYONGA,08 JAN 1991,RSA,1,,Potchefstroom (RSA),22 APR 2017,1280
56,8.65,-0.5,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,"Letzigrund, Zürich (SUI)",29 AUG 2019,1283
56,8.65,-0.3,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1281
63,8.64,+3.1,Larry MYRICKS,10 MAR 1956,USA,1,,"Colorado Springs, CO (USA)",02 JUL 1983,1260
63,8.64,+1.7,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA)",15 JUN 1991,1278
63,8.64,-0.5,Mike POWELL,10 NOV 1963,USA,2,,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1281
63,8.64,+3.1,Mike POWELL,10 NOV 1963,USA,1,,"Modesto, CA (USA)",14 MAY 1994,1260
63,8.64,+3.5,Kareem STREETE-THOMPSON,30 MAR 1973,USA,2,,"Knoxville, TN (USA)",18 JUN 1994,1257
68,8.63,+2.1,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",10 MAY 1981,1264
68,8.63,+3.9,Mike CONLEY,05 OCT 1962,USA,2,,"Eugene, OR (USA)",20 JUN 1986,1253
68,8.63,+2.0,Larry MYRICKS,10 MAR 1956,USA,2,,San José (USA),26 JUN 1987,1276
68,8.63,+0.5,Mike POWELL,10 NOV 1963,USA,2,,"New York, NY (USA)",15 JUN 1991,1276
68,8.63,+0.5,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,,Linz (AUT),04 JUL 1994,1276
68,8.63,+1.1,Iván PEDROSO,17 DEC 1972,CUB,1,,Padova (ITA),08 JUN 1997,1276
68,8.63,-0.4,Irving SALADINO,23 JAN 1983,PAN,2,,"Eugene, OR (USA)",07 JUN 2009,1278
75,8.62,+0.8,Carl LEWIS,01 JUL 1961,USA,1,,"Sacramento, CA (USA)",20 JUN 1981,1273
75,8.62,-0.1,Carl LEWIS,01 JUL 1961,USA,1,,Bruxelles (BEL),30 AUG 1985,1273
75,8.62,0.0,Mike POWELL,10 NOV 1963,USA,1,,"New Orleans, LA (USA)",24 JUN 1992,1273
75,8.62,+0.7,James BECKFORD,09 JAN 1975,JAM,1,,"Orlando, FL (USA)",05 APR 1997,1273
75,8.62,,Iván PEDROSO,17 DEC 1972,CUB,1,,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1273
75,8.62,+1.2,Luvo MANYONGA,08 JAN 1991,RSA,1,,Pretoria (RSA),17 MAR 2017,1273
75,8.62,+0.8,Luvo MANYONGA,08 JAN 1991,RSA,1,,"FBK Stadium, Hengelo (NED)",11 JUN 2017,1273
82,8.61,+0.5,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",16 MAY 1982,1271
82,8.61,-0.3,Robert EMMIYAN,16 FEB 1965,URS,1,,Moskva (URS),06 JUL 1986,1272
82,8.61,+3.2,Larry MYRICKS,10 MAR 1956,USA,1,,Shizuoka (JPN),03 MAY 1987,1252
82,8.61,+1.2,Larry MYRICKS,10 MAR 1956,USA,1,,Budapest (HUN),12 AUG 1988,1271
82,8.61,+0.2,Mike POWELL,10 NOV 1963,USA,1,,Rhede (GER),07 JUL 1991,1271
82,8.61,+2.6,James BECKFORD,09 JAN 1975,JAM,1,,Rio de Janeiro (BRA),04 MAY 1997,1256
82,8.61,+6.3,James BECKFORD,09 JAN 1975,JAM,1,,Marrubia (ITA),12 SEP 1998,1234
82,8.61,0.0,Dwight PHILLIPS,01 OCT 1977,USA,1,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1271
82,8.61,+0.7,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,1271
91,8.60,+1.5,Iván PEDROSO,17 DEC 1972,CUB,1,,Zürich (SUI),16 AUG 1995,1269
91,8.60,,Iván PEDROSO,17 DEC 1972,CUB,1,,Liévin (FRA) (i),16 FEB 1997,1269
91,8.60,-0.1,Iván PEDROSO,17 DEC 1972,CUB,1,,Praha (CZE),10 JUN 1997,1269
91,8.60,+0.4,James BECKFORD,09 JAN 1975,JAM,1,,Bad Langensalza (GER),06 JUN 1998,1269
91,8.60,+1.8,Iván PEDROSO,17 DEC 1972,CUB,1,,Padova (ITA),26 JUN 1999,1269
91,8.60,+0.5,Dwight PHILLIPS,01 OCT 1977,USA,1,,Linz (AUT),02 AUG 2004,1269
91,8.60,+1.6,Dwight PHILLIPS,01 OCT 1977,USA,1,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1269
91,8.60,+0.7,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Grigoris Lambrakis Stadium, Kallithea, Athina (GRE)",26 MAY 2021,1269
99,8.59,+1.3,Larry MYRICKS,10 MAR 1956,USA,1,,Rhede (GER),05 SEP 1984,1267
99,8.59,+0.4,Mike POWELL,10 NOV 1963,USA,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1267
99,8.59,+1.6,Iván PEDROSO,17 DEC 1972,CUB,1,,Tokyo (JPN),15 SEP 1995,1267
99,8.59,+0.4,Iván PEDROSO,17 DEC 1972,CUB,1,,Stockholm (SWE),07 JUL 1997,1267
99,8.59,,Miguel PATE,13 JUN 1979,USA,1,,"New York, NY (USA) (i)",01 MAR 2002,1267
99,8.59,+1.0,Dwight PHILLIPS,01 OCT 1977,USA,1,,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1267
99,8.59,+3.3,Dwight PHILLIPS,01 OCT 1977,USA,1q2,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1248
99,8.59,+2.9,Jeff HENDERSON,19 FEB 1989,USA,1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1250
107,8.58,0.0,Carl LEWIS,01 JUL 1961,USA,1,,Zürich (SUI),18 AUG 1982,1265
107,8.58,+2.4,Larry MYRICKS,10 MAR 1956,USA,2,,"Indianapolis, IN (USA)",16 AUG 1987,1251
107,8.58,+1.1,Larry MYRICKS,10 MAR 1956,USA,1,,Sestriere (ITA),11 AUG 1988,1265
107,8.58,+3.7,Erick WALDER,05 NOV 1971,USA,1,,"Starkville, MS (USA)",16 MAY 1992,1243
107,8.58,+2.7,Kareem STREETE-THOMPSON,30 MAR 1973,USA,3,,Sestriere (ITA),31 JUL 1994,1249
107,8.58,+0.2,Mike POWELL,10 NOV 1963,USA,1,,Bruxelles (BEL),19 AUG 1994,1265
107,8.58,-0.8,Iván PEDROSO,17 DEC 1972,CUB,1,,"Stade Louis II, Monaco (MON)",25 JUL 1995,1269
107,8.58,0.0,Erick WALDER,05 NOV 1971,USA,1,,"Springfield, MO (USA)",04 MAY 1996,1265
107,8.58,+1.8,Jarrion LAWSON,06 MAY 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1265
107,8.58,0.0,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1265
107,8.58,+0.2,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Olympic Stadium, London (GBR)",22 JUL 2018,1265
118,8.57,+5.2,Jason GRIMES,10 SEP 1959,USA,1,,"Durham, NC (USA)",27 JUN 1982,1231
118,8.57,w,Joe GREENE,17 FEB 1967,USA,2,,"Modesto, CA (USA)",16 MAY 1992,1232
118,8.57,+0.5,Mike POWELL,10 NOV 1963,USA,1,,"Olympiastadion, Berlin (GER)",21 AUG 1992,1262
118,8.57,-0.2,Mike POWELL,10 NOV 1963,USA,1,,Bruxelles (BEL),28 AUG 1992,1263
118,8.57,+0.5,Dwight PHILLIPS,01 OCT 1977,USA,1,,Linz (AUT),23 AUG 2005,1262
118,8.57,0.0,Irving SALADINO,23 JAN 1983,PAN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1262
118,8.57,+2.2,Dwight PHILLIPS,01 OCT 1977,USA,1f2,,"Eugene, OR (USA)",27 JUN 2009,1249
118,8.57,+3.6,Fabrice LAPIERRE,17 OCT 1983,AUS,1,,Madrid (ESP),04 JUL 2009,1241
126,8.56,,Carl LEWIS,01 JUL 1961,USA,1,,"East Rutherford, NJ (USA) (i)",16 JAN 1982,1260
126,8.56,+0.5,Larry MYRICKS,10 MAR 1956,USA,1,,Rhede (GER),01 SEP 1982,1260
126,8.56,+1.0,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",15 MAY 1983,1260
126,8.56,+8.9,Carl LEWIS,01 JUL 1961,USA,1,,"Sacramento, CA (USA)",21 JUL 1984,1207
126,8.56,+0.8,Carl LEWIS,01 JUL 1961,USA,1q1,,"National Stadium, Tokyo (JPN)",29 AUG 1991,1260
126,8.56,+1.9,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,,"New York, NY (USA)",21 MAY 1995,1260
126,8.56,+2.0,Iván PEDROSO,17 DEC 1972,CUB,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1260
126,8.56,+0.2,Iván PEDROSO,17 DEC 1972,CUB,1,,Linz (AUT),09 JUL 1997,1260
126,8.56,,Yago LAMELA,24 JUL 1977,ESP,2,,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1260
126,8.56,+1.3,Yago LAMELA,24 JUL 1977,ESP,1,,Torino (ITA),24 JUN 1999,1260
126,8.56,+1.1,Iván PEDROSO,17 DEC 1972,CUB,1,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1260
126,8.56,+1.6,Irving SALADINO,23 JAN 1983,PAN,1,,Rio de Janeiro (BRA),14 MAY 2006,1260
126,8.56,+0.8,Irving SALADINO,23 JAN 1983,PAN,1,,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1260
126,8.56,+0.2,Aleksandr MENKOV,07 DEC 1990,RUS,1,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1260
126,8.56,+0.2,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1260
126,8.56,+2.5,Tajay GAYLE,02 AUG 1996,JAM,1,,"National Stadium, Kingston (JAM)",05 JUN 2021,1245
142,8.55,,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA) (i)",26 FEB 1982,1258
142,8.55,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1258
142,8.55,,Carl LEWIS,01 JUL 1961,USA,1,,"East Rutherford, NJ (USA) (i)",11 FEB 1984,1258
142,8.55,+2.2,Larry MYRICKS,10 MAR 1956,USA,1,,"Modesto, CA (USA)",10 MAY 1986,1245
142,8.55,+2.9,Mike CONLEY,05 OCT 1962,USA,3,,San José (USA),26 JUN 1987,1241
142,8.55,+1.2,Larry MYRICKS,10 MAR 1956,USA,1,,"Modesto, CA (USA)",06 MAY 1989,1258
142,8.55,+4.3,Mike POWELL,10 NOV 1963,USA,1,,San José (USA),27 MAY 1989,1233
142,8.55,+3.6,Mike POWELL,10 NOV 1963,USA,1,,"Sacramento, CA (USA)",18 JUN 1995,1237
142,8.55,+1.5,Iván PEDROSO,17 DEC 1972,CUB,1,,Bad Cannstatt (GER),09 JUL 1995,1258
142,8.55,+0.4,Iván PEDROSO,17 DEC 1972,CUB,1,,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1258
142,8.55,+3.1,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,"Estadio Panamericano, La Habana (CUB)",22 MAY 2021,1240
142,8.55,+2.3,Tajay GAYLE,02 AUG 1996,JAM,1,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1245
142,8.55,,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1258
155,8.54,+0.9,Lutz DOMBROWSKI,25 JUN 1959,GDR,1,,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1256
155,8.54,,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA) (i)",28 JAN 1983,1256
155,8.54,-1.6,Carl LEWIS,01 JUL 1961,USA,1,,"Memorial Coliseum, Los Angeles, CA (USA)",06 AUG 1984,1265
155,8.54,+0.8,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA)",22 JUL 1989,1256
155,8.54,-0.5,Larry MYRICKS,10 MAR 1956,USA,1,,"Stade Louis II, Monaco (MON)",01 SEP 1989,1259
155,8.54,+0.3,Mike POWELL,10 NOV 1963,USA,1,,London (GBR),10 SEP 1993,1256
155,8.54,+2.9,Iván PEDROSO,17 DEC 1972,CUB,1,,São Paulo (BRA),14 MAY 1995,1239
155,8.54,+4.0,Iván PEDROSO,17 DEC 1972,CUB,1,,San Juan (PUR),27 JUN 1997,1232
155,8.54,+2.2,Erick WALDER,05 NOV 1971,USA,1,,Salamanca (ESP),10 JUL 1998,1243
155,8.54,+0.7,Iván PEDROSO,17 DEC 1972,CUB,1,,"New York, NY (USA)",20 JUL 1998,1256
155,8.54,+1.8,Louis TSATOUMAS,12 FEB 1982,GRE,1,,Chania (GRE),09 JUN 2007,1256
155,8.54,+0.9,Dwight PHILLIPS,01 OCT 1977,USA,2,,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1256
155,8.54,+0.1,Dwight PHILLIPS,01 OCT 1977,USA,1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1256
155,8.54,+1.7,Mitchell WATT,25 MAR 1988,AUS,1,,"Olympiastadion, Stockholm (SWE)",29 JUL 2011,1256
155,8.54,+4.1,Jeff HENDERSON,19 FEB 1989,USA,1,,"CIBC, Toronto (CAN)",22 JUL 2015,1232
155,8.54,+1.2,Wayne PINNOCK,24 OCT 2000,JAM,1q1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1256
171,8.53,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,"Houston, TX (USA)",04 MAY 1985,1254
171,8.53,+2.7,Mike CONLEY,05 OCT 1962,USA,1,,"Indianapolis, IN (USA)",16 JUN 1985,1238
171,8.53,-0.2,Robert EMMIYAN,16 FEB 1965,URS,2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1255
171,8.53,+0.3,Carl LEWIS,01 JUL 1961,USA,1,,Stockholm (SWE),03 JUL 1989,1254
171,8.53,+1.2,Jaime JEFFERSON,17 JAN 1962,CUB,1,,La Habana (CUB),12 MAY 1990,1254
171,8.53,-0.1,Carl LEWIS,01 JUL 1961,USA,2,,"New Orleans, LA (USA)",24 JUN 1992,1254
171,8.53,+1.6,Iván PEDROSO,17 DEC 1972,CUB,1,,Sevilla (ESP),17 JUL 1992,1254
171,8.53,+0.9,Erick WALDER,05 NOV 1971,USA,1,,"New Orleans, LA (USA)",03 JUN 1993,1254
171,8.53,+4.8,Mike POWELL,10 NOV 1963,USA,q,,"Eugene, OR (USA)",18 JUN 1993,1226
171,8.53,+2.2,Mike POWELL,10 NOV 1963,USA,1,,"Eugene, OR (USA)",19 JUN 1993,1241
171,8.53,+1.0,Iván PEDROSO,17 DEC 1972,CUB,1,,Fukuoka (JPN),13 SEP 1997,1254
171,8.53,+4.9,Kevin DILWORTH,14 FEB 1974,USA,1,,Fort-de-France (FRA),27 APR 2002,1225
171,8.53,+1.3,Yago LAMELA,24 JUL 1977,ESP,1,,Castellón (ESP),18 AUG 2003,1254
171,8.53,+0.9,Irving SALADINO,23 JAN 1983,PAN,1,,Oslo (NOR),02 JUN 2006,1254
171,8.53,-0.2,Irving SALADINO,23 JAN 1983,PAN,1,,Rio de Janeiro (BRA),13 MAY 2007,1255
171,8.53,-1.2,Irving SALADINO,23 JAN 1983,PAN,1,,"FBK Stadium, Hengelo (NED)",26 MAY 2007,1261
171,8.53,+0.5,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,2,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1254
171,8.53,+1.5,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1254
189,8.52,0.0,Larry MYRICKS,10 MAR 1956,USA,1,,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1251
189,8.52,-2.0,Carl LEWIS,01 JUL 1961,USA,1,,Zürich (SUI),19 AUG 1981,1263
189,8.52,+3.6,Mike POWELL,10 NOV 1963,USA,2,,"Houston, TX (USA)",17 JUN 1989,1230
189,8.52,-0.6,Larry MYRICKS,10 MAR 1956,USA,1,,"Westwood, CA (USA)",06 AUG 1989,1254
189,8.52,-2.3,Iván PEDROSO,17 DEC 1972,CUB,1,,Paris (FRA),03 JUL 1995,1264
189,8.52,-0.6,Mike POWELL,10 NOV 1963,USA,2,,Paris (FRA),03 JUL 1995,1254
189,8.52,+1.6,James BECKFORD,09 JAN 1975,JAM,1,,Innsbruck (AUT),29 MAY 1996,1251
189,8.52,+0.5,Iván PEDROSO,17 DEC 1972,CUB,1,,Winnipeg (CAN),25 JUL 1999,1251
189,8.52,+0.7,Savanté STRINGFELLOW,06 NOV 1978,USA,1,,"Palo Alto, CA (USA)",21 JUN 2002,1251
189,8.52,+3.5,Jeff HENDERSON,19 FEB 1989,USA,1,,"Sacramento, CA (USA)",29 JUN 2014,1230
189,8.52,+1.8,Jeff HENDERSON,19 FEB 1989,USA,,,"CIBC, Toronto (CAN)",22 JUL 2015,1251
189,8.52,+4.5,Tajay GAYLE,02 AUG 1996,JAM,1,,"Jamaica College Ashenheim Stadium, Kingston (JAM)",11 JUL 2020,1224
189,8.52,+0.3,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Olympiastadion, München (GER)",16 AUG 2022,1251
189,8.52,-0.3,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1252
189,8.52,+5.2,Carey MCLEOD,14 APR 1998,JAM,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1220
204,8.51,+5.3,Jason GRIMES,10 SEP 1959,USA,1,,"Indianapolis, IN (USA)",03 JUL 1982,1218
204,8.51,+1.2,Jaime JEFFERSON,17 JAN 1962,CUB,3,,"Indianapolis, IN (USA)",16 AUG 1987,1249
204,8.51,+1.6,Larry MYRICKS,10 MAR 1956,USA,1,,Villeneuve d'Ascq (FRA),27 JUN 1988,1249
204,8.51,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,Barcelona (ESP),16 JUL 1990,1249
204,8.51,+0.4,Mike POWELL,10 NOV 1963,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1249
204,8.51,+1.8,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1249
204,8.51,,Iván PEDROSO,17 DEC 1972,CUB,1,,"Palau Sant Jordi, Barcelona (ESP) (i)",11 MAR 1995,1249
204,8.51,+1.7,Roland MCGHEE,15 OCT 1971,USA,2,,São Paulo (BRA),14 MAY 1995,1249
204,8.51,,Iván PEDROSO,17 DEC 1972,CUB,1,,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",08 MAR 1997,1249
204,8.51,-1.4,Iván PEDROSO,17 DEC 1972,CUB,1,,Lille (FRA),11 JUL 1998,1257
204,8.51,+2.3,Irving SALADINO,23 JAN 1983,PAN,1,,São Paulo (BRA),02 APR 2005,1236
204,8.51,+3.7,Ignisious GAISAH,20 JUL 1983,GHA,1,,Bambous (MRI),09 AUG 2006,1227
204,8.51,+1.8,Dwight PHILLIPS,01 OCT 1977,USA,1,,Baie Mahault (FRA),01 MAY 2009,1249
204,8.51,+1.7,Greg RUTHERFORD,17 NOV 1986,GBR,1,,"Chula Vista, CA (USA)",24 APR 2014,1249
204,8.51,0.0,Luvo MANYONGA,08 JAN 1991,RSA,1,,London (GBR),15 JUL 2018,1249
204,8.51,+2.3,Shawn-D THOMPSON,20 JAN 1997,JAM,1,,"Keskusurheilukenttä, Joensuu (FIN)",20 JUL 2024,1236
220,8.50,+2.4,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",07 AUG 1982,1233
220,8.50,,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA) (i)",24 FEB 1984,1247
