Rank,Mark,WIND,Competitor,DOB,Unnamed: 5,Pos,Unnamed: 7,Venue,Date,Results Score,Age_category,Event
45,7.32,-0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GDR),20 JUL 1984,1290,senior,long jump
45,7.32,,Heike DRECHSLER,16 DEC 1964,GDR,1,,"New York, NY (USA) (i)",27 FEB 1987,1289,senior,long jump
45,7.32,0.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1289,senior,long jump
48,7.31,+1.5,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,,Almaty (KAZ),12 SEP 1985,1287,senior,long jump
48,7.31,+1.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,Jena (GDR),31 MAY 1986,1287,senior,long jump
48,7.31,-0.2,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Kiev (URS),15 JUL 1986,1288,senior,long jump
48,7.31,+1.1,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Moskva (URS),16 AUG 1987,1287,senior,long jump
48,7.31,+1.9,Marion JONES,12 OCT 1975,USA,1,,"Eugene, OR (USA)",31 MAY 1998,1287,senior,long jump
48,7.31,-0.1,Marion JONES,12 OCT 1975,USA,1,,Zürich (SUI),12 AUG 1998,1287,senior,long jump
48,7.31,+1.7,Brittney REESE,09 SEP 1986,USA,1,,"Hayward Field, Eugene, OR (USA)",02 JUL 2016,1287,senior,long jump
55,7.3,,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Budapest Sportcsarnok, Budapest (HUN) (i)",05 MAR 1988,1284,senior,long jump
55,7.3,,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Lipetsk (URS) (i),28 JAN 1989,1284,senior,long jump
55,7.3,+0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Poljud Stadion, Split (CRO)",28 AUG 1990,1284,senior,long jump
55,7.3,-0.2,Heike DRECHSLER,16 DEC 1964,GER,1,,Dillingen (GER),17 MAY 1992,1285,senior,long jump
55,7.3,+0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,San José (USA),28 MAY 1994,1284,senior,long jump
55,7.3,-0.8,Malaika MIHAMBO,03 FEB 1994,GER,1,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1288,senior,long jump
61,7.29,0.0,Heike DAUTE,16 DEC 1964,GDR,1,,Jena (GDR),13 MAY 1984,1282,senior,long jump
61,7.29,+0.5,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Moskva (URS),06 AUG 1984,1282,senior,long jump
61,7.29,+1.8,Heike DRECHSLER,16 DEC 1964,GDR,1,,Neubrandenburg (GDR),07 JUN 1985,1282,senior,long jump
61,7.29,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER) (i),25 JAN 1986,1282,senior,long jump
61,7.29,+0.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Sochi (URS),01 JUN 1988,1282,senior,long jump
61,7.29,0.0,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,,Almaty (KAZ),03 JUL 1988,1282,senior,long jump
61,7.29,-0.2,Heike DRECHSLER,16 DEC 1964,GER,2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1283,senior,long jump
61,7.29,+0.9,Heike DRECHSLER,16 DEC 1964,GER,2,,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1282,senior,long jump
69,7.28,+0.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Moskva (URS),18 AUG 1985,1280,senior,long jump
70,7.27,+0.6,Anișoara CUȘMIR,28 JUN 1962,ROU,,,Bucureşti (ROU),04 JUN 1983,1278,senior,long jump
70,7.27,+2.2,Heike DAUTE,16 DEC 1964,GDR,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1265,senior,long jump
70,7.27,+1.0,Anișoara CUȘMIR-STANCIU,28 JUN 1962,ROU,1,,Sofia (BUL),17 JUN 1984,1278,senior,long jump
70,7.27,+1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,2,,Erfurt (GER),22 JUN 1985,1278,senior,long jump
70,7.27,+0.7,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1278,senior,long jump
70,7.27,+0.8,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Moskva (URS),07 JUL 1986,1278,senior,long jump
70,7.27,+0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Neckarstadion, Stuttgart (GER)",27 AUG 1986,1278,senior,long jump
70,7.27,+1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Moskva (URS),22 AUG 1987,1278,senior,long jump
70,7.27,,Inessa KRAVETS,05 OCT 1966,URS,1,,Kiev (URS),22 MAY 1988,1278,senior,long jump
70,7.27,+0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1ce,,"Olympic Stadium, Seoul (KOR)",24 SEP 1988,1278,senior,long jump
70,7.27,+3.7,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Birmingham (GBR),24 JUN 1989,1256,senior,long jump
70,7.27,-0.4,Irina MELESHINA,25 MAY 1982,RUS,2,,Tula (RUS),31 JUL 2004,1280,senior,long jump
70,7.27,+2.7,Yulimar ROJAS,21 OCT 1995,VEN,1,,La Nucia (ESP),13 JUN 2021,1262,senior,long jump
83,7.26,+0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,Praha (TCH),28 JUN 1987,1275,senior,long jump
83,7.26,+2.9,Heike DRECHSLER,16 DEC 1964,GDR,1,,Malmö (SWE),07 AUG 1990,1258,senior,long jump
83,7.26,+1.8,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Bogotá (COL),25 JUN 1999,1275,senior,long jump
86,7.25,,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Kishinev (URS) (i),16 FEB 1985,1273,senior,long jump
86,7.25,+2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Moskva (URS),07 JUN 1987,1273,senior,long jump
86,7.25,+2.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1ce,,San José (USA),24 JUN 1987,1260,senior,long jump
86,7.25,+1.7,Heike DRECHSLER,16 DEC 1964,GER,1,,Bruxelles (BEL),13 SEP 1991,1273,senior,long jump
86,7.25,+1.6,Brittney REESE,09 SEP 1986,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1273,senior,long jump
91,7.24,-0.1,Jackie JOYNER,03 MAR 1962,USA,2,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1271,senior,long jump
91,7.24,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER) (i),20 FEB 1988,1271,senior,long jump
91,7.24,,Galina CHISTYAKOVA,26 JUL 1962,URS,2,,"Budapest Sportcsarnok, Budapest (HUN) (i)",05 MAR 1988,1271,senior,long jump
91,7.24,+1.0,Larisa BEREZHNAYA,28 FEB 1961,URS,1,,Granada (ESP),25 MAY 1991,1271,senior,long jump
91,7.24,+1.4,Heike DRECHSLER,16 DEC 1964,GER,1,,Sevilla (ESP),30 MAY 1991,1271,senior,long jump
91,7.24,,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Kombank Arena, Beograd (SRB) (i)",05 MAR 2017,1271,senior,long jump
91,7.24,+2.8,Tara DAVIS,20 MAY 1999,USA,1,,"CVEATC, Chula Vista, CA (USA)",09 JUL 2022,1255,senior,long jump
98,7.23,+0.6,Heike DRECHSLER,16 DEC 1964,GDR,2,,Moskva (URS),18 AUG 1985,1269,senior,long jump
98,7.23,+0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GDR),20 AUG 1986,1269,senior,long jump
98,7.23,-0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,Bruxelles (BEL),05 SEP 1986,1270,senior,long jump
98,7.23,,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Volgograd (URS) (i),10 FEB 1988,1269,senior,long jump
98,7.23,+2.0,Inessa KRAVETS,05 OCT 1966,URS,1,,Tallinn (EST),06 JUL 1988,1269,senior,long jump
98,7.23,+1.9,Heike DRECHSLER,16 DEC 1964,GER,1,,Alcobendas (ESP),07 JUN 1991,1269,senior,long jump
98,7.23,+0.2,Heike DRECHSLER,16 DEC 1964,GER,1,,Jena (GER),03 JUN 1994,1269,senior,long jump
98,7.23,+4.3,Fiona MAY,12 DEC 1969,ITA,1,,Sestriere (ITA),29 JUL 1995,1244,senior,long jump
98,7.23,-0.3,Marion JONES,12 OCT 1975,USA,1,,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1270,senior,long jump
98,7.23,,Brittney REESE,09 SEP 1986,USA,1,,"Ataköy Arena, Istanbul (TUR) (i)",11 MAR 2012,1269,senior,long jump
108,7.22,+1.5,Jackie JOYNER-KERSEE,03 MAR 1962,USA,q,,"Indianapolis, IN (USA)",22 JUL 1988,1267,senior,long jump
108,7.22,+0.5,Heike DRECHSLER,16 DEC 1964,GDR,2,,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,1267,senior,long jump
108,7.22,0.0,Inessa KRAVETS,05 OCT 1966,UKR,1,,Zürich (SUI),19 AUG 1992,1267,senior,long jump
108,7.22,+4.3,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,1,,Grodno (BLR),06 JUL 2012,1242,senior,long jump
108,7.22,,Brittney REESE,09 SEP 1986,USA,1,,"Oregon Convention Center, Portland, OR (USA) (i)",18 MAR 2016,1267,senior,long jump
108,7.22,-1.4,Malaika MIHAMBO,03 FEB 1994,GER,1,,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1275,senior,long jump
114,7.21,+0.6,Anișoara CUȘMIR,28 JUN 1962,ROU,1,,Bucureşti (ROU),15 MAY 1983,1264,senior,long jump
114,7.21,+1.6,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Moskva (URS),14 JUL 1984,1264,senior,long jump
114,7.21,+1.6,Helga RADTKE,16 MAY 1962,GDR,2,,Dresden (GER),26 JUL 1984,1264,senior,long jump
114,7.21,+0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER),08 JUL 1987,1264,senior,long jump
114,7.21,,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Sukhumi (URS),16 MAY 1988,1264,senior,long jump
114,7.21,+2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,2,,Sochi (URS),01 JUN 1988,1264,senior,long jump
114,7.21,+0.1,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Vladivostok (URS),14 SEP 1988,1264,senior,long jump
114,7.21,+3.6,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Lisboa (POR),28 JUL 1991,1243,senior,long jump
114,7.21,+1.8,Heike DRECHSLER,16 DEC 1964,GER,1,,München (GER),21 JUN 1992,1264,senior,long jump
114,7.21,-0.4,Heike DRECHSLER,16 DEC 1964,GER,1,,Zürich (SUI),04 AUG 1993,1266,senior,long jump
114,7.21,+0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,Paris (FRA),03 SEP 1994,1264,senior,long jump
114,7.21,+2.8,Marion JONES,12 OCT 1975,USA,1,,"New Orleans, LA (USA)",20 JUN 1998,1248,senior,long jump
114,7.21,+1.9,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,,Sochi (RUS),27 MAY 2007,1264,senior,long jump
127,7.2,-0.3,Valy IONESCU,31 AUG 1960,ROU,1,,Bucureşti (ROU),01 AUG 1982,1263,senior,long jump
127,7.2,+0.2,Galina CHISTYAKOVA,26 JUL 1962,URS,3,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1262,senior,long jump
127,7.2,+2.0,Irena OZHENKO,13 NOV 1962,URS,1,,Budapest (HUN),12 SEP 1986,1262,senior,long jump
127,7.2,+0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,,Rostock (GER),25 JUN 1988,1262,senior,long jump
127,7.2,,Larisa BEREZHNAYA,28 FEB 1961,URS,1,,Gomel (BLR) (i),04 FEB 1989,1262,senior,long jump
127,7.2,+0.8,Yelena SINCHUKOVA,23 JAN 1961,URS,1,,Budapest (HUN),20 JUN 1991,1262,senior,long jump
127,7.2,+2.1,Heike DRECHSLER,16 DEC 1964,GER,1,,Frankfurt (GER),30 JUN 1991,1250,senior,long jump
127,7.2,+1.3,Heike DRECHSLER,16 DEC 1964,GER,1,,Rhede (GER),12 JUL 1992,1262,senior,long jump
127,7.2,+2.3,Heike DRECHSLER,16 DEC 1964,GER,1,,Chemnitz (GER),18 JUN 1994,1249,senior,long jump
127,7.2,+0.7,Irina MUSHAYILOVA,06 JAN 1967,RUS,1,,St. Petersburg (RUS),14 JUL 1994,1262,senior,long jump
127,7.2,+1.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"Atlanta, GA (USA)",18 MAY 1996,1262,senior,long jump
127,7.2,+2.3,Tatyana KOTOVA,11 DEC 1976,RUS,1,,Madrid (ESP),16 JUL 2005,1249,senior,long jump
139,7.19,-0.1,Helga RADTKE,16 MAY 1962,GDR,4,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1260,senior,long jump
139,7.19,+1.5,Helga RADTKE,16 MAY 1962,GDR,2,,Berlin (GDR),22 SEP 1985,1260,senior,long jump
139,7.19,+1.3,Larisa BEREZHNAYA,28 FEB 1961,URS,1,,Krasnodar (URS),22 JUN 1986,1260,senior,long jump
139,7.19,+3.2,Helga RADTKE,16 MAY 1962,GDR,1,,Berlin (GER),25 AUG 1987,1241,senior,long jump
139,7.19,-0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1263,senior,long jump
139,7.19,+2.8,Larisa BEREZHNAYA,28 FEB 1961,URS,2,,Sestriere (ITA),31 JUL 1991,1244,senior,long jump
139,7.19,+0.2,Heike DRECHSLER,16 DEC 1964,GER,1,,Rieti (ITA),06 SEP 1991,1260,senior,long jump
139,7.19,+3.7,Susen TIEDTKE,23 JAN 1969,GER,1,,Sestriere (ITA),28 JUL 1993,1238,senior,long jump
139,7.19,,Heike DRECHSLER,16 DEC 1964,GER,1,,Sindelfingen (GER) (i),06 MAR 1994,1260,senior,long jump
139,7.19,+1.8,Brittney REESE,09 SEP 1986,USA,1,,"Hayward Field, Eugene, OR (USA)",26 JUN 2011,1260,senior,long jump
139,7.19,+3.1,Brittney REESE,09 SEP 1986,USA,1,,"Chula Vista, CA (USA)",19 MAY 2018,1242,senior,long jump
150,7.18,0.0,Heike DAUTE,16 DEC 1964,GDR,1,,Potsdam (GDR),25 MAY 1984,1258,senior,long jump
150,7.18,+0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER),15 JUL 1984,1258,senior,long jump
150,7.18,,Heike DRECHSLER,16 DEC 1964,GDR,1,,"Palacio de Deportes, Madrid (ESP) (i)",22 FEB 1986,1258,senior,long jump
150,7.18,+0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,,Jena (GDR),03 JUN 1988,1258,senior,long jump
150,7.18,+0.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Praha (TCH),16 JUN 1988,1258,senior,long jump
150,7.18,+3.3,Larisa BEREZHNAYA,28 FEB 1961,URS,2,,Birmingham (GBR),24 JUN 1989,1239,senior,long jump
150,7.18,,Heike DRECHSLER,16 DEC 1964,GER,1,,Dortmund (GER) (i),17 FEB 1991,1258,senior,long jump
150,7.18,,Tara DAVIS-WOODHALL,20 MAY 1999,USA,1,,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1258,senior,long jump
158,7.17,+3.6,Eva MURKOVÁ,29 MAY 1962,TCH,1,,Nitra (TCH),26 AUG 1984,1234,senior,long jump
158,7.17,,Yelena KHLOPOTNOVA,04 AUG 1963,URS,2,,Kishinev (URS) (i),16 FEB 1985,1255,senior,long jump
158,7.17,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Senftenberg (GER) (i),15 FEB 1986,1255,senior,long jump
158,7.17,+1.3,Yelena BELEVSKAYA,11 OCT 1963,URS,2,,Moskva (URS),07 JUL 1986,1255,senior,long jump
158,7.17,+1.6,Helga RADTKE,16 MAY 1962,GDR,1,,Rieti (ITA),07 SEP 1986,1255,senior,long jump
158,7.17,0.0,Heike DRECHSLER,16 DEC 1964,GDR,1,,Potsdam (GDR),05 JUN 1987,1255,senior,long jump
158,7.17,+1.0,Galina CHISTYAKOVA,26 JUL 1962,URS,2f1,,Karl Marx Stadt (GDR),20 JUN 1987,1255,senior,long jump
158,7.17,+1.8,Irina VALYUKEVICH,19 NOV 1959,URS,2,,Bryansk (URS),18 JUL 1987,1255,senior,long jump
158,7.17,-0.4,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER),29 JUN 1988,1257,senior,long jump
158,7.17,+2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,,Berlin (GER),13 SEP 1988,1255,senior,long jump
158,7.17,+0.9,Heike DRECHSLER,16 DEC 1964,GDR,1,,Rieti (ITA),09 SEP 1990,1255,senior,long jump
158,7.17,-1.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,"New York, NY (USA)",24 MAY 1992,1263,senior,long jump
158,7.17,+1.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,,San José (USA),30 MAY 1992,1255,senior,long jump
158,7.17,+0.4,Inessa KRAVETS,05 OCT 1966,UKR,2,,"Stade Louis II, Monaco (MON)",11 AUG 1992,1255,senior,long jump
158,7.17,+3.9,Fiona MAY,12 DEC 1969,ITA,,,Sestriere (ITA),29 JUL 1995,1232,senior,long jump
158,7.17,+2.6,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,São Paulo (BRA),13 APR 2002,1240,senior,long jump
158,7.17,-1.3,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,,Tula (RUS),02 AUG 2007,1262,senior,long jump
158,7.17,+0.6,Tianna BARTOLETTA,30 AUG 1985,USA,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1255,senior,long jump
158,7.17,+1.1,Ese BRUME,20 JAN 1996,NGR,1,,"Chula Vista, CA (USA)",29 MAY 2021,1255,senior,long jump
177,7.16,+2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,3,,Tallinn (EST),21 JUN 1986,1253,senior,long jump
177,7.16,+1.8,Helga RADTKE,16 MAY 1962,GDR,2,,Dresden (GER),03 JUL 1986,1253,senior,long jump
177,7.16,+1.3,Helga RADTKE,16 MAY 1962,GDR,2,,Berlin (GER),08 JUL 1987,1253,senior,long jump
177,7.16,0.0,Inessa KRAVETS,05 OCT 1966,URS,1,,Kharkov (URS),18 JUN 1988,1253,senior,long jump
177,7.16,,Yolanda CHEN,26 JUL 1961,URS,1,,Moskva (URS),30 JUL 1988,1253,senior,long jump
177,7.16,+1.3,Yelena SINCHUKOVA,23 JAN 1961,URS,1,,Kiev (URS),11 JUL 1991,1253,senior,long jump
177,7.16,+3.3,Inessa KRAVETS,05 OCT 1966,UKR,1,,Villeneuve d'Ascq (FRA),06 JUL 1992,1234,senior,long jump
177,7.16,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,,Bruxelles (BEL),28 AUG 1992,1254,senior,long jump
177,7.16,+1.4,Heike DRECHSLER,16 DEC 1964,GER,1,,"Estadio Panamericano, La Habana (CUB)",27 SEP 1992,1253,senior,long jump
177,7.16,+1.0,Heike DRECHSLER,16 DEC 1964,GER,1,,"Népstadion, Budapest (HUN)",22 AUG 1998,1253,senior,long jump
177,7.16,-0.1,Elva GOULBOURNE,21 JAN 1980,JAM,1,,Ciudad de México (MEX),22 MAY 2004,1253,senior,long jump
177,7.16,+1.6,Sosthene MOGUENARA-TAROUM,17 OCT 1989,GER,1f1,,Weinheim (GER),29 MAY 2016,1253,senior,long jump
177,7.16,+0.4,Malaika MIHAMBO,03 FEB 1994,GER,1,,Berlin (GER),04 AUG 2019,1253,senior,long jump
177,7.16,-0.1,Tara DAVIS-WOODHALL,20 MAY 1999,USA,1,,"John McDonnell Field, Fayetteville, AR (USA)",03 MAY 2024,1253,senior,long jump
191,7.15,+0.3,Anișoara CUȘMIR,28 JUN 1962,ROU,2,,Bucureşti (ROU),01 AUG 1982,1251,senior,long jump
191,7.15,+3.4,Anișoara CUȘMIR,28 JUN 1962,ROU,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1231,senior,long jump
191,7.15,-0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,,Praha (TCH),17 AUG 1984,1252,senior,long jump
191,7.15,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Leipzig (GER),11 AUG 1985,1251,senior,long jump
191,7.15,+3.1,Jackie JOYNER,03 MAR 1962,USA,2,,Rieti (ITA),07 SEP 1986,1233,senior,long jump
191,7.15,-0.4,Galina CHISTYAKOVA,26 JUL 1962,URS,2,,Praha (TCH),28 JUN 1987,1253,senior,long jump
191,7.15,+1.0,Helga RADTKE,16 MAY 1962,GDR,1,,Rostock (GER),22 JUN 1989,1251,senior,long jump
191,7.15,,Heike DRECHSLER,16 DEC 1964,GER,1,,Seoul (KOR),18 AUG 1991,1251,senior,long jump
191,7.15,+1.7,Heike DRECHSLER,16 DEC 1964,GER,2,,Villeneuve d'Ascq (FRA),06 JUL 1992,1251,senior,long jump
191,7.15,+3.1,Larisa BEREZHNAYA,28 FEB 1961,UKR,3,,Villeneuve d'Ascq (FRA),06 JUL 1992,1233,senior,long jump
