Mark,WIND,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
7.39,+2.9,Heike DRECHSLER,1964-12-16,GER,Sevilla (ESP),1992-06-06,senior,long jump,27,F,0
7.39,+3.3,Heike DRECHSLER,1964-12-16,GER,Sestriere (ITA),1994-07-31,senior,long jump,29,F,0
7.37,0.0,Heike DRECHSLER,1964-12-16,GDR,Wien (AUT) (i),1988-02-13,senior,long jump,23,F,1
7.37,+1.8,Heike DRECHSLER,1964-12-16,GER,Sestriere (ITA),1991-07-31,senior,long jump,26,F,0
7.37,0.0,Inessa KRAVETS,1966-10-05,UKR,Kyiv (UKR),1992-06-13,senior,long jump,25,F,0
7.36,+0.4,Jackie JOYNER-KERSEE,1962-03-03,USA,"Stadio Olimpico, Roma (ITA)",1987-09-04,senior,long jump,25,F,0
7.36,+1.8,Yelena BELEVSKAYA,1963-10-11,URS,Leningrad (URS),1988-06-11,senior,long jump,24,F,0
7.36,+2.2,Galina CHISTYAKOVA,1962-07-26,URS,Volgograd (URS),1989-06-11,senior,long jump,26,F,0
7.36,+1.8,Heike DRECHSLER,1964-12-16,GER,Jena (GER),1992-05-28,senior,long jump,27,F,0
7.35,+3.4,Heike DRECHSLER,1964-12-16,GDR,Jena (GDR),1986-06-28,senior,long jump,21,F,0
7.35,+1.9,Galina CHISTYAKOVA,1962-07-26,URS,Bratislava (TCH),1990-06-20,senior,long jump,27,F,0
7.34,+1.6,Heike DAUTE,1964-12-16,GDR,Dresden (GER),1984-05-19,senior,long jump,19,F,0
7.34,+1.4,Galina CHISTYAKOVA,1962-07-26,URS,Tallinn (EST),1986-06-21,senior,long jump,23,F,0
7.34,0.0,Yelena BELEVSKAYA,1963-10-11,URS,Sukhumi (URS),1987-05-17,senior,long jump,23,F,0
7.34,+0.7,Heike DRECHSLER,1964-12-16,GDR,Karl Marx Stadt (GDR),1987-06-20,senior,long jump,22,F,0
7.33,+3.5,Heike DRECHSLER,1964-12-16,GDR,Jena (GDR),1985-06-12,senior,long jump,20,F,0
7.33,+0.4,Heike DRECHSLER,1964-12-16,GDR,Erfurt (GER),1985-06-22,senior,long jump,20,F,0
7.33,+2.0,Heike DRECHSLER,1964-12-16,GDR,Dresden (GER),1985-08-02,senior,long jump,20,F,0
7.33,+2.1,Heike DRECHSLER,1964-12-16,GDR,Oslo (NOR),1987-07-04,senior,long jump,22,F,0
7.33,-0.3,Heike DRECHSLER,1964-12-16,GER,"Stade Louis II, Monaco (MON)",1992-08-11,senior,long jump,27,F,0
7.33,+3.3,Jackie JOYNER-KERSEE,1962-03-03,USA,"Bislett Stadion, Oslo (NOR)",1994-07-22,senior,long jump,32,F,0
7.33,+0.4,Tatyana LEBEDEVA,1976-07-21,RUS,Tula (RUS),2004-07-31,senior,long jump,28,F,0
7.32,-0.2,Heike DRECHSLER,1964-12-16,GDR,Berlin (GDR),1984-07-20,senior,long jump,19,F,0
7.32,0.0,Heike DRECHSLER,1964-12-16,GDR,"New York, NY (USA) (i)",1987-02-27,senior,long jump,22,F,1
7.32,0.0,Jackie JOYNER-KERSEE,1962-03-03,USA,"National Stadium, Tokyo (JPN)",1991-08-25,senior,long jump,29,F,0
7.31,+1.5,Yelena KHLOPOTNOVA,1963-08-04,URS,Almaty (KAZ),1985-09-12,senior,long jump,22,F,0
7.31,+1.3,Heike DRECHSLER,1964-12-16,GDR,Jena (GDR),1986-05-31,senior,long jump,21,F,0
7.31,-0.2,Yelena BELEVSKAYA,1963-10-11,URS,Kiev (URS),1986-07-15,senior,long jump,22,F,0
7.31,+1.1,Yelena BELEVSKAYA,1963-10-11,URS,Moskva (URS),1987-08-16,senior,long jump,23,F,0
7.31,+1.9,Marion JONES,1975-10-12,USA,"Eugene, OR (USA)",1998-05-31,senior,long jump,22,F,0
7.31,-0.1,Marion JONES,1975-10-12,USA,Zürich (SUI),1998-08-12,senior,long jump,22,F,0
7.31,+1.7,Brittney REESE,1986-09-09,USA,"Hayward Field, Eugene, OR (USA)",2016-07-02,senior,long jump,29,F,0
7.3,0.0,Heike DRECHSLER,1964-12-16,GDR,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-05,senior,long jump,23,F,1
7.3,0.0,Galina CHISTYAKOVA,1962-07-26,URS,Lipetsk (URS) (i),1989-01-28,senior,long jump,26,F,1
7.3,+0.6,Heike DRECHSLER,1964-12-16,GDR,"Poljud Stadion, Split (CRO)",1990-08-28,senior,long jump,25,F,0
7.3,-0.2,Heike DRECHSLER,1964-12-16,GER,Dillingen (GER),1992-05-17,senior,long jump,27,F,0
7.3,+0.7,Jackie JOYNER-KERSEE,1962-03-03,USA,San José (USA),1994-05-28,senior,long jump,32,F,0
7.3,-0.8,Malaika MIHAMBO,1994-02-03,GER,"Khalifa International Stadium, Doha (QAT)",2019-10-06,senior,long jump,25,F,0
7.29,0.0,Heike DAUTE,1964-12-16,GDR,Jena (GDR),1984-05-13,senior,long jump,19,F,0
7.29,+0.5,Galina CHISTYAKOVA,1962-07-26,URS,Moskva (URS),1984-08-06,senior,long jump,22,F,0
7.29,+1.8,Heike DRECHSLER,1964-12-16,GDR,Neubrandenburg (GDR),1985-06-07,senior,long jump,20,F,0
7.29,0.0,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER) (i),1986-01-25,senior,long jump,21,F,1
7.29,+0.9,Galina CHISTYAKOVA,1962-07-26,URS,Sochi (URS),1988-06-01,senior,long jump,25,F,0
7.29,0.0,Yelena KHLOPOTNOVA,1963-08-04,URS,Almaty (KAZ),1988-07-03,senior,long jump,24,F,0
7.29,-0.2,Heike DRECHSLER,1964-12-16,GER,"National Stadium, Tokyo (JPN)",1991-08-25,senior,long jump,26,F,0
7.29,+0.9,Heike DRECHSLER,1964-12-16,GER,"Bislett Stadion, Oslo (NOR)",1994-07-22,senior,long jump,29,F,0
7.28,+0.9,Galina CHISTYAKOVA,1962-07-26,URS,Moskva (URS),1985-08-18,senior,long jump,23,F,0
7.27,+0.6,Anișoara CUȘMIR,1962-06-28,ROU,Bucureşti (ROU),1983-06-04,senior,long jump,20,F,0
7.27,+2.2,Heike DAUTE,1964-12-16,GDR,"Olympiastadion, Helsinki (FIN)",1983-08-14,senior,long jump,18,F,0
7.27,+1.0,Anișoara CUȘMIR-STANCIU,1962-06-28,ROU,Sofia (BUL),1984-06-17,senior,long jump,21,F,0
7.27,+1.3,Galina CHISTYAKOVA,1962-07-26,URS,Erfurt (GER),1985-06-22,senior,long jump,22,F,0
7.27,+0.7,Heike DRECHSLER,1964-12-16,GDR,"Bruce Stadium, Canberra (AUS)",1985-10-06,senior,long jump,20,F,0
7.27,+0.8,Galina CHISTYAKOVA,1962-07-26,URS,Moskva (URS),1986-07-07,senior,long jump,23,F,0
7.27,+0.3,Heike DRECHSLER,1964-12-16,GDR,"Neckarstadion, Stuttgart (GER)",1986-08-27,senior,long jump,21,F,0
7.27,+1.3,Galina CHISTYAKOVA,1962-07-26,URS,Moskva (URS),1987-08-22,senior,long jump,25,F,0
7.27,0.0,Inessa KRAVETS,1966-10-05,URS,Kiev (URS),1988-05-22,senior,long jump,21,F,0
7.27,+0.7,Jackie JOYNER-KERSEE,1962-03-03,USA,"Olympic Stadium, Seoul (KOR)",1988-09-24,senior,long jump,26,F,0
7.27,+3.7,Galina CHISTYAKOVA,1962-07-26,URS,Birmingham (GBR),1989-06-24,senior,long jump,26,F,0
7.27,-0.4,Irina MELESHINA,1982-05-25,RUS,Tula (RUS),2004-07-31,senior,long jump,22,F,0
7.27,+2.7,Yulimar ROJAS,1995-10-21,VEN,La Nucia (ESP),2021-06-13,senior,long jump,25,F,0
7.26,+0.3,Heike DRECHSLER,1964-12-16,GDR,Praha (TCH),1987-06-28,senior,long jump,22,F,0
7.26,+2.9,Heike DRECHSLER,1964-12-16,GDR,Malmö (SWE),1990-08-07,senior,long jump,25,F,0
7.26,+1.8,Maurren Higa MAGGI,1976-06-25,BRA,Bogotá (COL),1999-06-25,senior,long jump,23,F,0
7.25,0.0,Galina CHISTYAKOVA,1962-07-26,URS,Kishinev (URS) (i),1985-02-16,senior,long jump,22,F,1
7.25,+2.0,Yelena BELEVSKAYA,1963-10-11,URS,Moskva (URS),1987-06-07,senior,long jump,23,F,0
7.25,+2.3,Jackie JOYNER-KERSEE,1962-03-03,USA,San José (USA),1987-06-24,senior,long jump,25,F,0
7.25,+1.7,Heike DRECHSLER,1964-12-16,GER,Bruxelles (BEL),1991-09-13,senior,long jump,26,F,0
7.25,+1.6,Brittney REESE,1986-09-09,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2013-05-10,senior,long jump,26,F,0
7.24,-0.1,Jackie JOYNER,1962-03-03,USA,"Letzigrund, Zürich (SUI)",1985-08-21,senior,long jump,23,F,0
7.24,0.0,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER) (i),1988-02-20,senior,long jump,23,F,1
7.24,0.0,Galina CHISTYAKOVA,1962-07-26,URS,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-05,senior,long jump,25,F,1
7.24,+1.0,Larisa BEREZHNAYA,1961-02-28,URS,Granada (ESP),1991-05-25,senior,long jump,30,F,0
7.24,+1.4,Heike DRECHSLER,1964-12-16,GER,Sevilla (ESP),1991-05-30,senior,long jump,26,F,0
7.24,0.0,Ivana ŠPANOVIĆ,1990-05-10,SRB,"Kombank Arena, Beograd (SRB) (i)",2017-03-05,senior,long jump,26,F,1
7.24,+2.8,Tara DAVIS,1999-05-20,USA,"CVEATC, Chula Vista, CA (USA)",2022-07-09,senior,long jump,23,F,0
7.23,+0.6,Heike DRECHSLER,1964-12-16,GDR,Moskva (URS),1985-08-18,senior,long jump,20,F,0
7.23,+0.2,Heike DRECHSLER,1964-12-16,GDR,Berlin (GDR),1986-08-20,senior,long jump,21,F,0
7.23,-0.3,Heike DRECHSLER,1964-12-16,GDR,Bruxelles (BEL),1986-09-05,senior,long jump,21,F,0
7.23,0.0,Galina CHISTYAKOVA,1962-07-26,URS,Volgograd (URS) (i),1988-02-10,senior,long jump,25,F,1
7.23,+2.0,Inessa KRAVETS,1966-10-05,URS,Tallinn (EST),1988-07-06,senior,long jump,21,F,0
7.23,+1.9,Heike DRECHSLER,1964-12-16,GER,Alcobendas (ESP),1991-06-07,senior,long jump,26,F,0
7.23,+0.2,Heike DRECHSLER,1964-12-16,GER,Jena (GER),1994-06-03,senior,long jump,29,F,0
7.23,+4.3,Fiona MAY,1969-12-12,ITA,Sestriere (ITA),1995-07-29,senior,long jump,25,F,0
7.23,-0.3,Marion JONES,1975-10-12,USA,"Stadio Olimpico, Roma (ITA)",1998-07-14,senior,long jump,22,F,0
7.23,0.0,Brittney REESE,1986-09-09,USA,"Ataköy Arena, Istanbul (TUR) (i)",2012-03-11,senior,long jump,25,F,1
7.22,+1.5,Jackie JOYNER-KERSEE,1962-03-03,USA,"Indianapolis, IN (USA)",1988-07-22,senior,long jump,26,F,0
7.22,+0.5,Heike DRECHSLER,1964-12-16,GDR,"Olympic Stadium, Seoul (KOR)",1988-09-29,senior,long jump,23,F,0
7.22,0.0,Inessa KRAVETS,1966-10-05,UKR,Zürich (SUI),1992-08-19,senior,long jump,25,F,0
7.22,+4.3,Nastassia MIRONCHYK-IVANOVA,1989-04-13,BLR,Grodno (BLR),2012-07-06,senior,long jump,23,F,0
7.22,0.0,Brittney REESE,1986-09-09,USA,"Oregon Convention Center, Portland, OR (USA) (i)",2016-03-18,senior,long jump,29,F,1
7.22,-1.4,Malaika MIHAMBO,1994-02-03,GER,"Stadio Olimpico, Roma (ITA)",2024-06-12,senior,long jump,30,F,0
7.21,+0.6,Anișoara CUȘMIR,1962-06-28,ROU,Bucureşti (ROU),1983-05-15,senior,long jump,20,F,0
7.21,+1.6,Galina CHISTYAKOVA,1962-07-26,URS,Moskva (URS),1984-07-14,senior,long jump,21,F,0
7.21,+1.6,Helga RADTKE,1962-05-16,GDR,Dresden (GER),1984-07-26,senior,long jump,22,F,0
7.21,+0.8,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER),1987-07-08,senior,long jump,22,F,0
7.21,0.0,Yelena BELEVSKAYA,1963-10-11,URS,Sukhumi (URS),1988-05-16,senior,long jump,24,F,0
7.21,+2.0,Yelena BELEVSKAYA,1963-10-11,URS,Sochi (URS),1988-06-01,senior,long jump,24,F,0
7.21,+0.1,Galina CHISTYAKOVA,1962-07-26,URS,Vladivostok (URS),1988-09-14,senior,long jump,26,F,0
7.21,+3.6,Yelena BELEVSKAYA,1963-10-11,URS,Lisboa (POR),1991-07-28,senior,long jump,27,F,0
7.21,+1.8,Heike DRECHSLER,1964-12-16,GER,München (GER),1992-06-21,senior,long jump,27,F,0
7.21,-0.4,Heike DRECHSLER,1964-12-16,GER,Zürich (SUI),1993-08-04,senior,long jump,28,F,0
7.21,+0.7,Jackie JOYNER-KERSEE,1962-03-03,USA,Paris (FRA),1994-09-03,senior,long jump,32,F,0
7.21,+2.8,Marion JONES,1975-10-12,USA,"New Orleans, LA (USA)",1998-06-20,senior,long jump,22,F,0
7.21,+1.9,Lyudmila KOLCHANOVA,1979-10-01,RUS,Sochi (RUS),2007-05-27,senior,long jump,27,F,0
7.2,-0.3,Valy IONESCU,1960-08-31,ROU,Bucureşti (ROU),1982-08-01,senior,long jump,21,F,0
7.2,+0.2,Galina CHISTYAKOVA,1962-07-26,URS,"Letzigrund, Zürich (SUI)",1985-08-21,senior,long jump,23,F,0
7.2,+2.0,Irena OZHENKO,1962-11-13,URS,Budapest (HUN),1986-09-12,senior,long jump,23,F,0
7.2,+0.8,Heike DRECHSLER,1964-12-16,GDR,Rostock (GER),1988-06-25,senior,long jump,23,F,0
7.2,0.0,Larisa BEREZHNAYA,1961-02-28,URS,Gomel (BLR) (i),1989-02-04,senior,long jump,27,F,1
7.2,+0.8,Yelena SINCHUKOVA,1961-01-23,URS,Budapest (HUN),1991-06-20,senior,long jump,30,F,0
7.2,+2.1,Heike DRECHSLER,1964-12-16,GER,Frankfurt (GER),1991-06-30,senior,long jump,26,F,0
7.2,+1.3,Heike DRECHSLER,1964-12-16,GER,Rhede (GER),1992-07-12,senior,long jump,27,F,0
7.2,+2.3,Heike DRECHSLER,1964-12-16,GER,Chemnitz (GER),1994-06-18,senior,long jump,29,F,0
7.2,+0.7,Irina MUSHAYILOVA,1967-01-06,RUS,St. Petersburg (RUS),1994-07-14,senior,long jump,27,F,0
7.2,+1.0,Jackie JOYNER-KERSEE,1962-03-03,USA,"Atlanta, GA (USA)",1996-05-18,senior,long jump,34,F,0
7.2,+2.3,Tatyana KOTOVA,1976-12-11,RUS,Madrid (ESP),2005-07-16,senior,long jump,28,F,0
7.19,-0.1,Helga RADTKE,1962-05-16,GDR,"Letzigrund, Zürich (SUI)",1985-08-21,senior,long jump,23,F,0
7.19,+1.5,Helga RADTKE,1962-05-16,GDR,Berlin (GDR),1985-09-22,senior,long jump,23,F,0
7.19,+1.3,Larisa BEREZHNAYA,1961-02-28,URS,Krasnodar (URS),1986-06-22,senior,long jump,25,F,0
7.19,+3.2,Helga RADTKE,1962-05-16,GDR,Berlin (GER),1987-08-25,senior,long jump,25,F,0
7.19,-0.6,Heike DRECHSLER,1964-12-16,GDR,"Stade Olympique de la Pontaise, Lausanne (SUI)",1990-07-12,senior,long jump,25,F,0
7.19,+2.8,Larisa BEREZHNAYA,1961-02-28,URS,Sestriere (ITA),1991-07-31,senior,long jump,30,F,0
7.19,+0.2,Heike DRECHSLER,1964-12-16,GER,Rieti (ITA),1991-09-06,senior,long jump,26,F,0
7.19,+3.7,Susen TIEDTKE,1969-01-23,GER,Sestriere (ITA),1993-07-28,senior,long jump,24,F,0
7.19,0.0,Heike DRECHSLER,1964-12-16,GER,Sindelfingen (GER) (i),1994-03-06,senior,long jump,29,F,1
7.19,+1.8,Brittney REESE,1986-09-09,USA,"Hayward Field, Eugene, OR (USA)",2011-06-26,senior,long jump,24,F,0
7.19,+3.1,Brittney REESE,1986-09-09,USA,"Chula Vista, CA (USA)",2018-05-19,senior,long jump,31,F,0
7.18,0.0,Heike DAUTE,1964-12-16,GDR,Potsdam (GDR),1984-05-25,senior,long jump,19,F,0
7.18,+0.3,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER),1984-07-15,senior,long jump,19,F,0
7.18,0.0,Heike DRECHSLER,1964-12-16,GDR,"Palacio de Deportes, Madrid (ESP) (i)",1986-02-22,senior,long jump,21,F,1
7.18,+0.6,Heike DRECHSLER,1964-12-16,GDR,Jena (GDR),1988-06-03,senior,long jump,23,F,0
7.18,+0.4,Galina CHISTYAKOVA,1962-07-26,URS,Praha (TCH),1988-06-16,senior,long jump,25,F,0
7.18,+3.3,Larisa BEREZHNAYA,1961-02-28,URS,Birmingham (GBR),1989-06-24,senior,long jump,28,F,0
7.18,0.0,Heike DRECHSLER,1964-12-16,GER,Dortmund (GER) (i),1991-02-17,senior,long jump,26,F,1
7.18,0.0,Tara DAVIS-WOODHALL,1999-05-20,USA,"Convention Center, Albuquerque, NM (USA) (i)",2024-02-16,senior,long jump,24,F,1
7.17,+3.6,Eva MURKOVÁ,1962-05-29,TCH,Nitra (TCH),1984-08-26,senior,long jump,22,F,0
7.17,0.0,Yelena KHLOPOTNOVA,1963-08-04,URS,Kishinev (URS) (i),1985-02-16,senior,long jump,21,F,1
7.17,0.0,Heike DRECHSLER,1964-12-16,GDR,Senftenberg (GER) (i),1986-02-15,senior,long jump,21,F,1
7.17,+1.3,Yelena BELEVSKAYA,1963-10-11,URS,Moskva (URS),1986-07-07,senior,long jump,22,F,0
7.17,+1.6,Helga RADTKE,1962-05-16,GDR,Rieti (ITA),1986-09-07,senior,long jump,24,F,0
7.17,0.0,Heike DRECHSLER,1964-12-16,GDR,Potsdam (GDR),1987-06-05,senior,long jump,22,F,0
7.17,+1.0,Galina CHISTYAKOVA,1962-07-26,URS,Karl Marx Stadt (GDR),1987-06-20,senior,long jump,24,F,0
7.17,+1.8,Irina VALYUKEVICH,1959-11-19,URS,Bryansk (URS),1987-07-18,senior,long jump,27,F,0
7.17,-0.4,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER),1988-06-29,senior,long jump,23,F,0
7.17,+2.0,Heike DRECHSLER,1964-12-16,GDR,Berlin (GER),1988-09-13,senior,long jump,23,F,0
7.17,+0.9,Heike DRECHSLER,1964-12-16,GDR,Rieti (ITA),1990-09-09,senior,long jump,25,F,0
7.17,-1.4,Jackie JOYNER-KERSEE,1962-03-03,USA,"New York, NY (USA)",1992-05-24,senior,long jump,30,F,0
7.17,+1.0,Jackie JOYNER-KERSEE,1962-03-03,USA,San José (USA),1992-05-30,senior,long jump,30,F,0
7.17,+0.4,Inessa KRAVETS,1966-10-05,UKR,"Stade Louis II, Monaco (MON)",1992-08-11,senior,long jump,25,F,0
7.17,+3.9,Fiona MAY,1969-12-12,ITA,Sestriere (ITA),1995-07-29,senior,long jump,25,F,0
7.17,+2.6,Maurren Higa MAGGI,1976-06-25,BRA,São Paulo (BRA),2002-04-13,senior,long jump,25,F,0
7.17,-1.3,Lyudmila KOLCHANOVA,1979-10-01,RUS,Tula (RUS),2007-08-02,senior,long jump,27,F,0
7.17,+0.6,Tianna BARTOLETTA,1985-08-30,USA,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-17,senior,long jump,30,F,0
7.17,+1.1,Ese BRUME,1996-01-20,NGR,"Chula Vista, CA (USA)",2021-05-29,senior,long jump,25,F,0
7.16,+2.0,Yelena BELEVSKAYA,1963-10-11,URS,Tallinn (EST),1986-06-21,senior,long jump,22,F,0
7.16,+1.8,Helga RADTKE,1962-05-16,GDR,Dresden (GER),1986-07-03,senior,long jump,24,F,0
7.16,+1.3,Helga RADTKE,1962-05-16,GDR,Berlin (GER),1987-07-08,senior,long jump,25,F,0
7.16,0.0,Inessa KRAVETS,1966-10-05,URS,Kharkov (URS),1988-06-18,senior,long jump,21,F,0
7.16,0.0,Yolanda CHEN,1961-07-26,URS,Moskva (URS),1988-07-30,senior,long jump,27,F,0
7.16,+1.3,Yelena SINCHUKOVA,1961-01-23,URS,Kiev (URS),1991-07-11,senior,long jump,30,F,0
7.16,+3.3,Inessa KRAVETS,1966-10-05,UKR,Villeneuve d'Ascq (FRA),1992-07-06,senior,long jump,25,F,0
7.16,-0.3,Heike DRECHSLER,1964-12-16,GER,Bruxelles (BEL),1992-08-28,senior,long jump,27,F,0
7.16,+1.4,Heike DRECHSLER,1964-12-16,GER,"Estadio Panamericano, La Habana (CUB)",1992-09-27,senior,long jump,27,F,0
7.16,+1.0,Heike DRECHSLER,1964-12-16,GER,"Népstadion, Budapest (HUN)",1998-08-22,senior,long jump,33,F,0
7.16,-0.1,Elva GOULBOURNE,1980-01-21,JAM,Ciudad de México (MEX),2004-05-22,senior,long jump,24,F,0
7.16,+1.6,Sosthene MOGUENARA-TAROUM,1989-10-17,GER,Weinheim (GER),2016-05-29,senior,long jump,26,F,0
7.16,+0.4,Malaika MIHAMBO,1994-02-03,GER,Berlin (GER),2019-08-04,senior,long jump,25,F,0
7.16,-0.1,Tara DAVIS-WOODHALL,1999-05-20,USA,"John McDonnell Field, Fayetteville, AR (USA)",2024-05-03,senior,long jump,24,F,0
7.15,+0.3,Anișoara CUȘMIR,1962-06-28,ROU,Bucureşti (ROU),1982-08-01,senior,long jump,20,F,0
7.15,+3.4,Anișoara CUȘMIR,1962-06-28,ROU,"Olympiastadion, Helsinki (FIN)",1983-08-14,senior,long jump,21,F,0
7.15,-0.2,Heike DRECHSLER,1964-12-16,GDR,Praha (TCH),1984-08-17,senior,long jump,19,F,0
7.15,0.0,Heike DRECHSLER,1964-12-16,GDR,Leipzig (GER),1985-08-11,senior,long jump,20,F,0
7.15,+3.1,Jackie JOYNER,1962-03-03,USA,Rieti (ITA),1986-09-07,senior,long jump,24,F,0
7.15,-0.4,Galina CHISTYAKOVA,1962-07-26,URS,Praha (TCH),1987-06-28,senior,long jump,24,F,0
7.15,+1.0,Helga RADTKE,1962-05-16,GDR,Rostock (GER),1989-06-22,senior,long jump,27,F,0
7.15,0.0,Heike DRECHSLER,1964-12-16,GER,Seoul (KOR),1991-08-18,senior,long jump,26,F,0
7.15,+1.7,Heike DRECHSLER,1964-12-16,GER,Villeneuve d'Ascq (FRA),1992-07-06,senior,long jump,27,F,0
7.15,+3.1,Larisa BEREZHNAYA,1961-02-28,UKR,Villeneuve d'Ascq (FRA),1992-07-06,senior,long jump,31,F,0
7.15,-0.5,Heike DRECHSLER,1964-12-16,GER,Nice (FRA),1992-07-15,senior,long jump,27,F,0
7.15,0.0,Heike DRECHSLER,1964-12-16,GER,Maebashi (JPN) (i),1994-02-13,senior,long jump,29,F,1
7.15,+0.8,Heike DRECHSLER,1964-12-16,GER,Ingolstadt (GER),1994-07-17,senior,long jump,29,F,0
7.15,-0.5,Heike DRECHSLER,1964-12-16,GER,"Stade Louis II, Monaco (MON)",1994-08-02,senior,long jump,29,F,0
7.15,+1.0,Tatyana LEBEDEVA,1976-07-21,RUS,Madrid (ESP),2007-07-21,senior,long jump,31,F,0
7.15,+2.8,Janay DELOACH,1985-10-12,USA,"Hayward Field, Eugene, OR (USA)",2012-06-29,senior,long jump,26,F,0
7.15,+1.0,Brittney REESE,1986-09-09,USA,"Hayward Field, Eugene, OR (USA)",2012-07-01,senior,long jump,25,F,0
7.15,+0.6,Brittney REESE,1986-09-09,USA,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-17,senior,long jump,29,F,0
7.14,+1.1,Heike DAUTE,1964-12-16,GDR,Bratislava (TCH),1983-06-04,senior,long jump,18,F,0
7.14,0.0,Anișoara CUȘMIR-STANCIU,1962-06-28,ROU,Bucureşti (ROU),1984-07-12,senior,long jump,22,F,0
7.14,w,Helga RADTKE,1962-05-16,GDR,Jena (GDR),1985-06-12,senior,long jump,23,F,0
7.14,+2.5,Yelena BELEVSKAYA,1963-10-11,URS,Leningrad (URS),1986-06-08,senior,long jump,22,F,0
7.14,0.0,Jackie JOYNER-KERSEE,1962-03-03,USA,"Stadio Olimpico, Roma (ITA)",1987-09-01,senior,long jump,25,F,0
7.14,-0.6,Yelena BELEVSKAYA,1963-10-11,URS,"Stadio Olimpico, Roma (ITA)",1987-09-04,senior,long jump,23,F,0
7.14,+1.8,Nijolé MEDVEDEVA,1960-10-20,URS,Riga (LAT),1988-06-04,senior,long jump,27,F,0
7.14,+1.2,Mirela DULGHERU-RENDA,1966-10-05,ROU,Sofia (BUL),1992-07-05,senior,long jump,25,F,0
7.14,-0.7,Heike DRECHSLER,1964-12-16,GER,"Estadio Olímpico, Barcelona (ESP)",1992-08-07,senior,long jump,27,F,0
7.14,+1.6,Heike DRECHSLER,1964-12-16,GER,Jena (GER),1993-06-13,senior,long jump,28,F,0
