Mark,WIND,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
18.01,+3.7,Kenny HARRISON,1965-02-13,USA,"Atlanta, GA (USA)",1996-06-15,senior,triple jump,31,M,0
18.01,+0.4,Jonathan EDWARDS,1966-05-10,GBR,"Bislett Stadion, Oslo (NOR)",1998-07-09,senior,triple jump,32,M,0
18.0,+1.3,Jonathan EDWARDS,1966-05-10,GBR,London (GBR),1995-08-27,senior,triple jump,29,M,0
17.99,+0.5,Jonathan EDWARDS,1966-05-10,GBR,"Népstadion, Budapest (HUN)",1998-08-23,senior,triple jump,32,M,0
17.99,+1.8,Pedro PICHARDO,1993-06-30,CUB,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,senior,triple jump,22,M,0
17.98,+1.8,Jonathan EDWARDS,1966-05-10,GBR,"Helmántico, Salamanca (ESP)",1995-07-18,senior,triple jump,29,M,0
17.98,+1.2,Teddy TAMGHO,1989-06-15,FRA,"Icahn Stadium, New York, NY (USA)",2010-06-12,senior,triple jump,20,M,0
17.98,0.0,Pedro PICHARDO,1993-06-30,POR,"National Stadium, Tokyo (JPN)",2021-08-05,senior,triple jump,28,M,0
17.97,+1.5,Willie BANKS,1956-03-11,USA,"Indianapolis, IN (USA)",1985-06-16,senior,triple jump,29,M,0
17.97,+7.5,Yoelbi QUESADA,1973-08-04,CUB,Madrid (ESP),1995-06-20,senior,triple jump,21,M,0
17.96,+0.1,Christian TAYLOR,1990-06-18,USA,"DS, Daegu (KOR)",2011-09-04,senior,triple jump,21,M,0
17.96,-0.4,Pedro PICHARDO,1993-06-30,CUB,"Stadio Olimpico, Roma (ITA)",2015-06-04,senior,triple jump,21,M,0
17.95,+0.6,Pedro PICHARDO,1993-06-30,POR,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,senior,triple jump,24,M,0
17.95,+0.3,Pedro PICHARDO,1993-06-30,POR,"Hayward Field, Eugene, OR (USA)",2022-07-23,senior,triple jump,29,M,0
17.94,0.0,Pedro PICHARDO,1993-06-30,CUB,La Habana (CUB),2015-05-08,senior,triple jump,21,M,0
17.93,+5.2,Charles SIMPKINS,1963-10-19,USA,"Indianapolis, IN (USA)",1988-07-16,senior,triple jump,24,M,0
17.93,+1.6,Kenny HARRISON,1965-02-13,USA,Stockholm (SWE),1990-07-02,senior,triple jump,25,M,0
17.93,+3.4,Christian TAYLOR,1990-06-18,USA,"Bregyó Athletic Center, Székesfehérvár (HUN)",2019-07-09,senior,triple jump,29,M,0
17.93,+2.5,Jordan A. DÍAZ FORTUN,2001-02-23,CUB,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2022-06-26,senior,triple jump,21,M,0
17.92,+1.6,Khristo MARKOV,1965-01-27,BUL,"Stadio Olimpico, Roma (ITA)",1987-08-31,senior,triple jump,22,M,0
17.92,+1.9,James BECKFORD,1975-01-09,JAM,"Odessa, TX (USA)",1995-05-20,senior,triple jump,20,M,0
17.92,+0.7,Jonathan EDWARDS,1966-05-10,GBR,"Commonwealth Stadium, Edmonton (CAN)",2001-08-06,senior,triple jump,35,M,0
17.92,+3.4,Christian OLSSON,1980-01-25,SWE,Gateshead (GBR),2003-07-13,senior,triple jump,23,M,0
17.92,0.0,Teddy TAMGHO,1989-06-15,FRA,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",2011-03-06,senior,triple jump,21,M,1
17.92,+0.9,Christian TAYLOR,1990-06-18,USA,"Khalifa International Stadium, Doha (QAT)",2019-09-29,senior,triple jump,29,M,0
17.92,+0.4,Pedro PICHARDO,1993-06-30,POR,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,senior,triple jump,28,M,0
17.91,+3.2,Charles SIMPKINS,1963-10-19,USA,"Eugene, OR (USA)",1986-06-21,senior,triple jump,22,M,0
17.91,0.0,Teddy TAMGHO,1989-06-15,FRA,Aubière (FRA) (i),2011-02-20,senior,triple jump,21,M,1
17.91,+1.4,Teddy TAMGHO,1989-06-15,FRA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30,senior,triple jump,22,M,0
17.91,+0.9,Will CLAYE,1991-06-13,USA,"Sacramento, CA (USA)",2017-06-23,senior,triple jump,26,M,0
17.91,+2.1,Pedro PICHARDO,1993-06-30,POR,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,senior,triple jump,29,M,0
17.91,+0.5,Pedro PICHARDO,1993-06-30,POR,"National Stadium, Tokyo (JPN)",2025-09-19,senior,triple jump,32,M,0
17.9,+1.0,Volodimir INOZEMTSEV,1964-05-25,URS,Bratislava (TCH),1990-06-20,senior,triple jump,26,M,0
17.9,+0.4,Jadel GREGÓRIO,1980-09-16,BRA,"Mangueirão, Belém (BRA)",2007-05-20,senior,triple jump,26,M,0
17.9,0.0,Teddy TAMGHO,1989-06-15,FRA,"Aspire Dome, Doha (QAT) (i)",2010-03-14,senior,triple jump,20,M,1
17.89,0.0,João Carlos DE OLIVEIRA,1954-05-28,BRA,Ciudad de México (MEX),1975-10-15,senior,triple jump,21,M,0
17.88,+0.9,Jonathan EDWARDS,1966-05-10,GBR,"Olympic Stadium, Atlanta, GA (USA)",1996-07-27,senior,triple jump,30,M,0
17.87,+1.7,Mike CONLEY,1962-10-05,USA,San José (USA),1987-06-27,senior,triple jump,24,M,0
17.87,+1.2,Jordan A. DÍAZ FORTUN,2001-02-23,CUB,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2022-06-26,senior,triple jump,21,M,0
17.87,+1.3,Jaydon HIBBERT,2005-01-17,JAM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,senior,triple jump,18,M,0
17.86,+1.3,Charles SIMPKINS,1963-10-19,USA,Kobe (JPN),1985-09-02,senior,triple jump,21,M,0
17.86,+3.9,Charles SIMPKINS,1963-10-19,USA,"New Orleans, LA (USA)",1992-06-21,senior,triple jump,28,M,0
17.86,+0.3,Mike CONLEY,1962-10-05,USA,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-16,senior,triple jump,30,M,0
17.86,+5.7,Denis KAPUSTIN,1970-10-05,RUS,Sevilla (ESP),1994-06-05,senior,triple jump,23,M,0
17.86,+0.7,Jonathan EDWARDS,1966-05-10,GBR,Manchester (GBR),2002-07-28,senior,triple jump,36,M,0
17.86,+0.7,Christian TAYLOR,1990-06-18,USA,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-16,senior,triple jump,26,M,0
17.86,+2.1,Christian TAYLOR,1990-06-18,USA,"Stade Louis II, Monaco (MON)",2018-07-20,senior,triple jump,28,M,0
17.86,+0.1,Jordan A. DÍAZ FORTUN,2001-02-23,ESP,"Stade de France, Paris (FRA)",2024-08-09,senior,triple jump,23,M,0
17.85,+0.9,Yoelbi QUESADA,1973-08-04,CUB,"Olympic Stadium, Athina (GRE)",1997-08-08,senior,triple jump,24,M,0
17.85,+2.1,Christian TAYLOR,1990-06-18,USA,"Boudewijnstadion, Bruxelles (BEL)",2019-09-06,senior,triple jump,29,M,0
17.84,+2.3,Mike CONLEY,1962-10-05,USA,"Eugene, OR (USA)",1986-06-21,senior,triple jump,23,M,0
17.84,+0.7,Mike CONLEY,1962-10-05,USA,Bad Cannstatt (GER),1993-07-04,senior,triple jump,30,M,0
17.84,+0.2,Pedro PICHARDO,1993-06-30,POR,"Stade de France, Paris (FRA)",2024-08-09,senior,triple jump,31,M,0
17.83,0.0,Aliecer URRUTIA,1974-09-22,CUB,Sindelfingen (GER) (i),1997-03-01,senior,triple jump,22,M,1
17.83,0.0,Christian OLSSON,1980-01-25,SWE,"Sportaréna, Budapest (HUN) (i)",2004-03-07,senior,triple jump,24,M,1
17.83,+2.5,Hugues Fabrice ZANGO,1993-06-25,BUR,"Estadio Vallehermoso, Madrid (ESP)",2021-06-19,senior,triple jump,27,M,0
17.82,+3.6,Willie BANKS,1956-03-11,USA,San José (USA),1986-05-31,senior,triple jump,30,M,0
17.82,+1.6,Jonathan EDWARDS,1966-05-10,GBR,Helsinki (FIN),1996-06-25,senior,triple jump,30,M,0
17.82,+2.5,Nelson ÉVORA,1984-04-20,POR,Seixal (POR),2009-07-26,senior,triple jump,25,M,0
17.82,+1.7,Will CLAYE,1991-06-13,USA,"Hayward Field, Eugene, OR (USA)",2017-05-27,senior,triple jump,25,M,0
17.82,+0.2,Christian TAYLOR,1990-06-18,USA,"Stade Louis II, Monaco (MON)",2019-07-12,senior,triple jump,29,M,0
17.82,+0.2,Christian TAYLOR,1990-06-18,USA,"Stade Charléty, Paris (FRA)",2019-08-24,senior,triple jump,29,M,0
17.82,0.0,Hugues Fabrice ZANGO,1993-06-25,BUR,"Arena Stade Couvert, Liévin (FRA) (i)",2021-02-09,senior,triple jump,27,M,1
17.82,+0.2,Hugues Fabrice ZANGO,1993-06-25,BUR,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,senior,triple jump,28,M,0
17.81,+4.6,Keith CONNOR,1957-09-16,GBR,Brisbane (AUS),1982-10-09,senior,triple jump,25,M,0
17.81,+2.0,Khristo MARKOV,1965-01-27,BUL,Sofia (BUL),1987-05-31,senior,triple jump,22,M,0
17.81,+1.0,Marian OPREA,1982-06-06,ROU,"Stade Olympique de la Pontaise, Lausanne (SUI)",2005-07-05,senior,triple jump,23,M,0
17.81,+0.1,Phillips IDOWU,1978-12-30,GBR,"Estadio Olímpico, Barcelona (ESP)",2010-07-29,senior,triple jump,31,M,0
17.81,+0.6,Christian TAYLOR,1990-06-18,USA,"Olympic Stadium, London (GBR)",2012-08-09,senior,triple jump,22,M,0
17.81,+0.6,Christian TAYLOR,1990-06-18,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,senior,triple jump,27,M,0
17.81,+1.5,Hugues Fabrice ZANGO,1993-06-25,BUR,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,senior,triple jump,29,M,0
17.8,+0.6,Khristo MARKOV,1965-01-27,BUL,Budapest (HUN),1986-08-11,senior,triple jump,21,M,0
17.8,0.0,Christian OLSSON,1980-01-25,SWE,Göteborg (SWE) (i),2002-03-05,senior,triple jump,22,M,1
17.8,+2.3,Christian TAYLOR,1990-06-18,USA,"Des Moines, IA (USA)",2011-06-11,senior,triple jump,20,M,0
17.8,+0.1,Christian TAYLOR,1990-06-18,USA,"Letzigrund, Zürich (SUI)",2016-09-01,senior,triple jump,26,M,0
17.8,+2.6,Andy DÍAZ HERNÁNDEZ,1995-12-25,ITA,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,senior,triple jump,27,M,0
17.8,0.0,Andy DÍAZ HERNÁNDEZ,1995-12-25,ITA,"Sports Training Center, Nanjing (CHN) (i)",2025-03-21,senior,triple jump,29,M,1
17.79,-0.8,Kenny HARRISON,1965-02-13,USA,Berlin (GER),1990-07-04,senior,triple jump,25,M,0
17.79,+3.3,Jonathan EDWARDS,1966-05-10,GBR,"Estadio de la Comunidad, Madrid (ESP)",1996-06-02,senior,triple jump,30,M,0
17.79,-0.7,Jonathan EDWARDS,1966-05-10,GBR,Zürich (SUI),1996-08-14,senior,triple jump,30,M,0
17.79,+1.4,Christian OLSSON,1980-01-25,SWE,"Olympic Stadium, Athina (GRE)",2004-08-22,senior,triple jump,24,M,0
17.78,+1.0,Nikolay MUSIYENKO,1959-12-16,URS,Leningrad (URS),1986-06-07,senior,triple jump,26,M,0
17.78,-0.8,Kenny HARRISON,1965-02-13,USA,"National Stadium, Tokyo (JPN)",1991-08-26,senior,triple jump,26,M,0
17.78,+0.7,Jonathan EDWARDS,1966-05-10,GBR,Stockholm (SWE),2002-07-16,senior,triple jump,36,M,0
17.78,+0.8,Melvin LISTER,1977-08-29,USA,"Sacramento, CA (USA)",2004-07-17,senior,triple jump,26,M,0
17.78,+0.6,Christian TAYLOR,1990-06-18,USA,"Olympic Stadium, London (GBR)",2016-07-22,senior,triple jump,26,M,0
17.77,+1.9,Khristo MARKOV,1965-01-27,BUL,Budapest (HUN),1985-08-11,senior,triple jump,20,M,0
17.77,+1.0,Aleksandr KOVALENKO,1963-05-08,URS,Bryansk (URS),1987-07-18,senior,triple jump,24,M,0
17.77,+1.4,Khristo MARKOV,1965-01-27,BUL,Sofia (BUL),1988-09-03,senior,triple jump,23,M,0
17.77,0.0,Leonid VOLOSHIN,1966-03-30,RUS,Grenoble (FRA) (i),1994-02-06,senior,triple jump,27,M,1
17.77,+1.6,Christian OLSSON,1980-01-25,SWE,Chania (GRE),2003-06-09,senior,triple jump,23,M,0
17.77,0.0,Phillips IDOWU,1978-12-30,GBR,"DS, Daegu (KOR)",2011-09-04,senior,triple jump,32,M,0
17.77,0.0,Hugues Fabrice ZANGO,1993-06-25,BUR,"AccorHotels Arena de Bercy, Paris (FRA) (i)",2020-02-02,senior,triple jump,26,M,1
17.76,0.0,Mike CONLEY,1962-10-05,USA,"New York, NY (USA) (i)",1987-02-27,senior,triple jump,24,M,1
17.76,NWI,Ivan SLANAŘ,1961-01-11,TCH,Ljubljana (SLO),1988-06-20,senior,triple jump,27,M,0
17.76,+2.2,Kenta BELL,1977-03-16,USA,"El Paso, TX (USA)",2004-04-10,senior,triple jump,27,M,0
17.76,-0.2,Pedro PICHARDO,1993-06-30,CUB,La Habana (CUB),2014-02-07,senior,triple jump,20,M,0
17.76,+0.8,Christian TAYLOR,1990-06-18,USA,"Hayward Field, Eugene, OR (USA)",2016-05-28,senior,triple jump,25,M,0
17.76,+0.4,Will CLAYE,1991-06-13,USA,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-16,senior,triple jump,25,M,0
17.76,+1.0,Jordan A. DÍAZ FORTUN,2001-02-23,CUB,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",2022-06-12,senior,triple jump,21,M,0
17.75,+3.0,Gennadiy VALYUKEVICH,1958-06-01,URS,Uzhgorod (URS),1986-04-27,senior,triple jump,27,M,0
17.75,+0.3,Oleg PROTSENKO,1963-08-11,URS,Moskva (URS),1990-06-10,senior,triple jump,26,M,0
17.75,+1.0,Leonid VOLOSHIN,1966-03-30,URS,"National Stadium, Tokyo (JPN)",1991-08-26,senior,triple jump,25,M,0
17.75,+7.1,Brian WELLMAN,1967-09-08,BER,Madrid (ESP),1995-06-20,senior,triple jump,27,M,0
17.75,+0.1,Yoelbi QUESADA,1973-08-04,CUB,Granada (ESP),1996-05-29,senior,triple jump,22,M,0
17.75,-0.2,Jonathan EDWARDS,1966-05-10,GBR,Zürich (SUI),1998-08-12,senior,triple jump,32,M,0
17.75,+1.1,Jonathan EDWARDS,1966-05-10,GBR,"Stade de France, Paris-St-Denis (FRA)",2002-07-05,senior,triple jump,36,M,0
17.75,0.0,Phillips IDOWU,1978-12-30,GBR,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-09,senior,triple jump,29,M,1
17.75,+0.8,Will CLAYE,1991-06-13,USA,"Sacramento, CA (USA)",2014-06-27,senior,triple jump,23,M,0
17.75,-0.8,Christian TAYLOR,1990-06-18,USA,"Stade Louis II, Monaco (MON)",2015-07-17,senior,triple jump,25,M,0
17.75,-0.3,Will CLAYE,1991-06-13,USA,"Stade Louis II, Monaco (MON)",2019-07-12,senior,triple jump,28,M,0
17.75,+0.9,Andy DÍAZ HERNÁNDEZ,1995-12-25,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,senior,triple jump,27,M,0
17.75,-0.7,Jaydon HIBBERT,2005-01-17,JAM,"National Stadium, Kingston (JAM)",2024-06-01,senior,triple jump,19,M,0
17.74,+3.5,Kenny HARRISON,1965-02-13,USA,Hiroshima (JPN),1989-05-03,senior,triple jump,24,M,0
17.74,0.0,Kenny HARRISON,1965-02-13,USA,Grosseto (ITA),1990-08-13,senior,triple jump,25,M,0
17.74,+0.8,Leonid VOLOSHIN,1966-03-30,URS,"Poljud Stadion, Split (CRO)",1990-08-31,senior,triple jump,24,M,0
17.74,+0.9,Jonathan EDWARDS,1966-05-10,GBR,"Olympiastadion, München (GER)",1997-06-22,senior,triple jump,31,M,0
17.74,+1.9,Christian OLSSON,1980-01-25,SWE,Gateshead (GBR),2003-07-13,senior,triple jump,23,M,0
17.74,0.0,Marian OPREA,1982-06-06,ROU,Bucureşti (ROU) (i),2006-02-18,senior,triple jump,23,M,1
17.74,+1.4,Nelson ÉVORA,1984-04-20,POR,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-27,senior,triple jump,23,M,0
17.74,+2.7,Donald SCOTT,1992-02-23,USA,"Drake Stadium, Des Moines, IA (USA)",2019-07-26,senior,triple jump,27,M,0
17.74,+0.9,Will CLAYE,1991-06-13,USA,"Khalifa International Stadium, Doha (QAT)",2019-09-29,senior,triple jump,28,M,0
17.73,+4.1,Vasiliy SOKOV,1968-04-07,URS,Riga (LAT),1989-06-03,senior,triple jump,21,M,0
17.73,+1.0,Jadel GREGÓRIO,1980-09-16,BRA,São Paulo (BRA),2005-06-19,senior,triple jump,24,M,0
17.73,0.0,Walter DAVIS,1979-07-02,USA,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-12,senior,triple jump,26,M,1
17.73,0.0,Phillips IDOWU,1978-12-30,GBR,"Olympiastadion, Berlin (GER)",2009-08-18,senior,triple jump,30,M,0
17.73,0.0,Fabrizio DONATO,1976-08-14,ITA,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",2011-03-06,senior,triple jump,34,M,1
17.73,+1.0,Pedro PICHARDO,1993-06-30,CUB,"Stade Louis II, Monaco (MON)",2015-07-17,senior,triple jump,22,M,0
17.73,+0.2,Pedro PICHARDO,1993-06-30,CUB,"National Stadium, Beijing (CHN)",2015-08-27,senior,triple jump,22,M,0
17.73,-1.3,Christian TAYLOR,1990-06-18,USA,"Hayward Field, Eugene, OR (USA)",2018-05-26,senior,triple jump,27,M,0
17.72,+3.2,Mike CONLEY,1962-10-05,USA,"Austin, TX (USA)",1985-06-01,senior,triple jump,22,M,0
17.72,+0.9,Kenny HARRISON,1965-02-13,USA,"Seattle, WA (USA)",1990-07-26,senior,triple jump,25,M,0
17.72,+0.1,Mike CONLEY,1962-10-05,USA,Zürich (SUI),1992-08-19,senior,triple jump,29,M,0
17.72,0.0,Brian WELLMAN,1967-09-08,BER,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-12,senior,triple jump,27,M,1
17.72,-0.3,Christian OLSSON,1980-01-25,SWE,"Stade de France, Paris-St-Denis (FRA)",2003-08-25,senior,triple jump,23,M,0
17.72,+1.4,Jadel GREGÓRIO,1980-09-16,BRA,São Paulo (BRA),2004-06-06,senior,triple jump,23,M,0
17.72,+1.3,Sheryf EL SHERYF,1989-01-02,UKR,"Mestský Stadion, Ostrava (CZE)",2011-07-17,senior,triple jump,22,M,0
17.71,+1.4,Mike CONLEY,1962-10-05,USA,"Indianapolis, IN (USA)",1985-06-16,senior,triple jump,22,M,0
17.71,+2.0,Willie BANKS,1956-03-11,USA,Barcelona (ESP),1985-07-08,senior,triple jump,29,M,0
17.71,+3.4,Jonathan EDWARDS,1966-05-10,GBR,Salamanca (ESP),1999-07-15,senior,triple jump,33,M,0
17.71,+0.2,Jonathan EDWARDS,1966-05-10,GBR,"Olympic Stadium, Sydney (AUS)",2000-09-25,senior,triple jump,34,M,0
17.71,+1.3,Jadel GREGÓRIO,1980-09-16,BRA,São Paulo (BRA),2005-04-30,senior,triple jump,24,M,0
17.71,-0.7,Walter DAVIS,1979-07-02,USA,"Indianapolis, IN (USA)",2006-06-25,senior,triple jump,26,M,0
17.71,0.0,Pedro PICHARDO,1993-06-30,CUB,La Habana (CUB),2014-03-20,senior,triple jump,20,M,0
17.71,+2.4,Marquis DENDY,1992-11-17,USA,"Eugene, OR (USA)",2015-06-12,senior,triple jump,22,M,0
17.71,+0.2,Pedro PICHARDO,1993-06-30,POR,"National Stadium, Tokyo (JPN)",2021-08-03,senior,triple jump,28,M,0
17.71,+3.4,Lázaro MARTÍNEZ,1997-11-03,CUB,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,senior,triple jump,25,M,0
17.71,+0.1,Jordan A. DÍAZ FORTUN,2001-02-23,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",2024-06-30,senior,triple jump,23,M,0
17.71,0.0,Andy DÍAZ HERNÁNDEZ,1995-12-25,ITA,"Omnisport, Apeldoorn (NED) (i)",2025-03-08,senior,triple jump,29,M,1
17.7,+2.9,Jonathan EDWARDS,1966-05-10,GBR,Edinburgh (GBR),1993-07-02,senior,triple jump,27,M,0
17.7,+1.7,Aliecer URRUTIA,1974-09-22,CUB,Sevilla (ESP),1996-06-06,senior,triple jump,21,M,0
17.7,0.0,Christian OLSSON,1980-01-25,SWE,"National Indoor Arena, Birmingham (GBR) (i)",2003-03-16,senior,triple jump,23,M,1
17.7,0.0,Marian OPREA,1982-06-06,ROU,Bucureşti (ROU) (i),2006-02-11,senior,triple jump,23,M,1
17.7,+1.1,Jadel GREGÓRIO,1980-09-16,BRA,São Paulo (BRA),2007-06-24,senior,triple jump,26,M,0
17.7,0.0,Will CLAYE,1991-06-13,USA,"Ataköy Arena, Istanbul (TUR) (i)",2012-03-11,senior,triple jump,20,M,1
17.7,0.0,Daniele GRECO,1989-03-01,ITA,"Scandinavium, Göteborg (SWE) (i)",2013-03-02,senior,triple jump,24,M,1
17.7,+2.3,Will CLAYE,1991-06-13,USA,"Drake Stadium, Des Moines, IA (USA)",2019-07-26,senior,triple jump,28,M,0
17.7,+0.8,Pedro PICHARDO,1993-06-30,POR,"Letzigrund, Zürich (SUI)",2021-09-09,senior,triple jump,28,M,0
17.7,-0.8,Andy DÍAZ HERNÁNDEZ,1995-12-25,CUB,"Letzigrund, Zürich (SUI)",2022-09-08,senior,triple jump,26,M,0
17.7,-0.4,Hugues Fabrice ZANGO,1993-06-25,BUR,"Stade Louis II, Monaco (MON)",2023-07-21,senior,triple jump,30,M,0
17.7,-0.2,Jaydon HIBBERT,2005-01-17,JAM,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-19,senior,triple jump,18,M,0
17.69,+1.0,Oleg PROTSENKO,1963-08-11,URS,Leningrad (URS),1985-08-04,senior,triple jump,21,M,0
17.69,+0.2,Mike CONLEY,1962-10-05,USA,Moskva (URS),1986-07-09,senior,triple jump,23,M,0
17.69,+1.5,Igor LAPSHIN,1963-08-08,URS,Minsk (BLR),1988-07-31,senior,triple jump,24,M,0
17.69,+2.7,Kenny HARRISON,1965-02-13,USA,Malmö (SWE),1990-08-07,senior,triple jump,25,M,0
17.69,+4.2,Mike CONLEY,1962-10-05,USA,"Eugene, OR (USA)",1993-06-17,senior,triple jump,30,M,0
17.69,+0.5,Jonathan EDWARDS,1966-05-10,GBR,"Crystal Palace, London (GBR)",1995-07-07,senior,triple jump,29,M,0
17.69,-0.5,Jonathan EDWARDS,1966-05-10,GBR,Berlin (GER),1996-08-30,senior,triple jump,30,M,0
17.69,+0.3,Jonathan EDWARDS,1966-05-10,GBR,"Olympic Stadium, Athina (GRE)",1997-08-08,senior,triple jump,31,M,0
17.69,+3.9,Alexis COPELLO,1985-08-12,CUB,La Habana (CUB),2009-04-25,senior,triple jump,23,M,0
17.69,0.0,Yoandri BETANZOS,1982-02-15,CUB,"Aspire Dome, Doha (QAT) (i)",2010-03-14,senior,triple jump,28,M,1
17.69,+2.0,Pedro PICHARDO,1993-06-30,CUB,La Habana (CUB),2013-06-04,senior,triple jump,19,M,0
17.69,+0.2,Pedro PICHARDO,1993-06-30,POR,"Estadio Vallehermoso, Madrid (ESP)",2021-06-19,senior,triple jump,27,M,0
17.68,+1.9,Oleg PROTSENKO,1963-08-11,URS,Helsinki (FIN),1988-06-30,senior,triple jump,24,M,0
17.68,+1.0,Mike CONLEY,1962-10-05,USA,"New Orleans, LA (USA)",1992-06-21,senior,triple jump,29,M,0
17.68,-0.5,Yoelbi QUESADA,1973-08-04,CUB,La Habana (CUB),1993-05-22,senior,triple jump,19,M,0
17.68,-0.5,Mike CONLEY,1962-10-05,USA,Paris (FRA),1994-09-03,senior,triple jump,31,M,0
17.68,-1.6,Jonathan EDWARDS,1966-05-10,GBR,Oslo (NOR),1996-07-05,senior,triple jump,30,M,0
17.68,+1.2,Phillips IDOWU,1978-12-30,GBR,Manchester (GBR),2002-07-28,senior,triple jump,23,M,0
17.68,+0.4,Danil BURKENYA,1978-07-20,RUS,Tula (RUS),2004-07-31,senior,triple jump,26,M,0
17.68,-0.5,Christian OLSSON,1980-01-25,SWE,"Olympic Stadium, Athina (GRE)",2004-08-20,senior,triple jump,24,M,0
17.68,+1.6,Alexis COPELLO,1985-08-12,CUB,Avila (ESP),2011-07-17,senior,triple jump,25,M,0
17.68,+1.3,Christian TAYLOR,1990-06-18,USA,"Crystal Palace, London (GBR)",2011-08-06,senior,triple jump,21,M,0
