Mark,Competitor,DOB,Nat,Venue,Date,Age_category,Event,Age,Gender,is_indoor
2.04,Kajsa BERGQVIST,1976-10-12,SWE,"Stade Olympique de la Pontaise, Lausanne (SUI)",2002-07-02,senior,high jump,25,F,0
2.04,Anna CHICHEROVA,1982-07-22,RUS,Yekaterinburg (RUS) (i),2003-01-07,senior,high jump,20,F,1
2.04,Anna CHICHEROVA,1982-07-22,RUS,Arnstadt (GER) (i),2004-02-07,senior,high jump,21,F,1
2.04,Yelena SLESARENKO,1982-02-28,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-07,senior,high jump,22,F,1
2.04,Yelena SLESARENKO,1982-02-28,RUS,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2004-06-20,senior,high jump,22,F,0
2.04,Hestrie CLOETE,1978-08-26,RSA,Zürich (SUI),2004-08-06,senior,high jump,25,F,0
2.04,Kajsa BERGQVIST,1976-10-12,SWE,Sollentuna (SWE),2006-07-16,senior,high jump,29,F,0
2.04,Venelina VENEVA-MATEEVA,1974-06-13,BUL,Zürich (SUI),2006-08-18,senior,high jump,32,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Doha (QAT),2007-05-11,senior,high jump,23,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,"Letzigrund, Zürich (SUI)",2007-09-07,senior,high jump,23,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Banská Bystrica (SVK) (i),2008-02-05,senior,high jump,24,F,1
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,"Bislett Stadion, Oslo (NOR)",2008-06-06,senior,high jump,24,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Zagreb (CRO),2008-09-09,senior,high jump,24,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,"Schleyer Halle, Stuttgart (GER) (i)",2009-02-07,senior,high jump,25,F,1
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Split (CRO),2009-05-16,senior,high jump,25,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,"Štadión SNP, Banská Bystrica (SVK)",2009-06-21,senior,high jump,25,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,"Olympiastadion, Berlin (GER)",2009-08-20,senior,high jump,25,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Thessaloniki (GRE),2009-09-13,senior,high jump,25,F,0
2.04,Blanka VLAŠIĆ,1983-11-08,CRO,Banská Bystrica (SVK) (i),2010-03-04,senior,high jump,26,F,1
2.04,Chaunte LOWE,1984-01-12,USA,Cottbus (GER),2010-05-30,senior,high jump,26,F,0
2.04,Antonietta DI MARTINO,1978-06-01,ITA,Banská Bystrica (SVK) (i),2011-02-09,senior,high jump,32,F,1
2.04,Irina GORDEYEVA,1986-10-09,RUS,Eberstadt (GER),2012-08-19,senior,high jump,25,F,0
2.04,Brigetta BARRETT,1990-12-24,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-22,senior,high jump,22,F,0
2.04,Mariya LASITSKENE,1993-01-14,ANA,"FBK Stadium, Hengelo (NED)",2017-06-11,senior,high jump,24,F,0
2.04,Mariya LASITSKENE,1993-01-14,ANA,Volgograd (RUS) (i),2018-01-27,senior,high jump,25,F,1
2.04,Mariya LASITSKENE,1993-01-14,ANA,"Stade Charléty, Paris (FRA)",2018-06-30,senior,high jump,25,F,0
2.04,Mariya LASITSKENE,1993-01-14,ANA,"Olympic Stadium, London (GBR)",2018-07-22,senior,high jump,25,F,0
2.04,Mariya LASITSKENE,1993-01-14,ANA,Moskva (RUS) (i),2019-02-03,senior,high jump,26,F,1
2.04,Mariya LASITSKENE,1993-01-14,ANA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",2019-06-30,senior,high jump,26,F,0
2.04,Mariya LASITSKENE,1993-01-14,ANA,"Khalifa International Stadium, Doha (QAT)",2019-09-30,senior,high jump,26,F,0
2.04,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Khalifa International Stadium, Doha (QAT)",2019-09-30,senior,high jump,18,F,0
2.04,Mariya LASITSKENE,1993-01-14,RUS,"Salyut Geraklion Arena, Moskva (RUS) (i)",2020-02-01,senior,high jump,27,F,1
2.04,Mariya LASITSKENE,1993-01-14,ANA,"National Stadium, Tokyo (JPN)",2021-08-07,senior,high jump,28,F,0
2.04,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Lausitz-Arena, Cottbus (GER) (i)",2024-01-31,senior,high jump,22,F,1
2.04,Nicola OLYSLAGERS,1996-12-28,AUS,"Sechseläutenplatz, Zürich (SUI)",2025-08-27,senior,high jump,28,F,0
2.03,Tamara BYKOVA,1958-12-21,URS,"Budapest Sportcsarnok, Budapest (HUN) (i)",1983-03-06,senior,high jump,24,F,1
2.03,Ulrike MEYFARTH,1956-05-04,FRG,London (GBR),1983-08-21,senior,high jump,27,F,0
2.03,Tamara BYKOVA,1958-12-21,URS,London (GBR),1983-08-21,senior,high jump,24,F,0
2.03,Tamara BYKOVA,1958-12-21,URS,Moskva (URS),1984-08-06,senior,high jump,25,F,0
2.03,Lyudmila ANDONOVA,1960-05-06,BUL,Rieti (ITA),1984-09-02,senior,high jump,24,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Moskva (URS),1986-07-07,senior,high jump,21,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Formia (ITA),1987-08-11,senior,high jump,22,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Sindelfingen (GER) (i),1988-02-05,senior,high jump,22,F,1
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL),1988-05-22,senior,high jump,23,F,0
2.03,Louise RITTER,1958-02-18,USA,"Austin, TX (USA)",1988-07-08,senior,high jump,30,F,0
2.03,Louise RITTER,1958-02-18,USA,"Olympic Stadium, Seoul (KOR)",1988-09-30,senior,high jump,30,F,0
2.03,Silvia COSTA,1964-05-04,CUB,Köln (GER),1989-08-20,senior,high jump,25,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Padova (ITA),1991-09-15,senior,high jump,26,F,0
2.03,Heike HENKEL,1964-05-05,GER,Berlin (GER) (i),1992-01-29,senior,high jump,27,F,1
2.03,Heike HENKEL,1964-05-05,GER,Osaka (JPN) (i),1992-02-11,senior,high jump,27,F,1
2.03,Heike HENKEL,1964-05-05,GER,München (GER) (i),1992-02-23,senior,high jump,27,F,1
2.03,Heike HENKEL,1964-05-05,GER,Sindelfingen (GER) (i),1992-03-08,senior,high jump,27,F,1
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Sindelfingen (GER) (i),1992-03-08,senior,high jump,26,F,1
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Sevilla (ESP),1992-06-06,senior,high jump,27,F,0
2.03,Heike HENKEL,1964-05-05,GER,München (GER),1992-06-20,senior,high jump,28,F,0
2.03,Heike HENKEL,1964-05-05,GER,Hengelo (NED),1992-06-28,senior,high jump,28,F,0
2.03,Heike HENKEL,1964-05-05,GER,Ingolstadt (GER),1992-07-19,senior,high jump,28,F,0
2.03,Alina ASTAFEI,1969-06-07,ROU,Stuttgart (GER) (i),1995-02-05,senior,high jump,25,F,1
2.03,Inga BABAKOVA,1967-06-27,UKR,Nikopol (UKR),1995-05-03,senior,high jump,27,F,0
2.03,Inga BABAKOVA,1967-06-27,UKR,Wörrstadt (GER),1995-05-27,senior,high jump,27,F,0
2.03,Inga BABAKOVA,1967-06-27,UKR,Bratislava (SVK),1995-05-30,senior,high jump,27,F,0
2.03,Tatyana BABASHKINA,1968-11-23,RUS,Bratislava (SVK),1995-05-30,senior,high jump,26,F,0
2.03,Inga BABAKOVA,1967-06-27,UKR,"Stade Louis II, Monaco (MON)",1995-09-09,senior,high jump,28,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Sofia (BUL),1996-06-16,senior,high jump,31,F,0
2.03,Niki BAKOGIANNI,1968-06-09,GRE,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,senior,high jump,28,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Bruxelles (BEL),1996-08-23,senior,high jump,31,F,0
2.03,Inga BABAKOVA,1967-06-27,UKR,Bruxelles (BEL),1996-08-23,senior,high jump,29,F,0
2.03,Stefka KOSTADINOVA,1965-03-25,BUL,Berlin (GER),1996-08-30,senior,high jump,31,F,0
2.03,Venelina VENEVA-MATEEVA,1974-06-13,BUL,Kalamata (GRE),1998-05-23,senior,high jump,23,F,0
2.03,Monica IAGĂR DINESCU,1973-04-02,ROU,Bucureşti (ROU) (i),1999-01-23,senior,high jump,25,F,1
2.03,Inga BABAKOVA,1967-06-27,UKR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2001-07-04,senior,high jump,34,F,0
2.03,Marina KUPTSOVA,1981-12-22,RUS,"Ferry-Dusika-Halle, Wien (AUT) (i)",2002-03-02,senior,high jump,20,F,1
2.03,Kajsa BERGQVIST,1976-10-12,SWE,Stockholm (SWE) (i),2003-02-18,senior,high jump,26,F,1
2.03,Hestrie CLOETE,1978-08-26,RSA,Zürich (SUI),2003-08-15,senior,high jump,24,F,0
2.03,Hestrie CLOETE,1978-08-26,RSA,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,senior,high jump,25,F,0
2.03,Hestrie CLOETE,1978-08-26,RSA,"Stadio Olimpico, Roma (ITA)",2004-07-02,senior,high jump,25,F,0
2.03,Yelena SLESARENKO,1982-02-28,RUS,"Stadio Olimpico, Roma (ITA)",2004-07-02,senior,high jump,22,F,0
2.03,Yelena SLESARENKO,1982-02-28,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,senior,high jump,22,F,0
2.03,Hestrie CLOETE,1978-08-26,RSA,"Crystal Palace, London (GBR)",2004-07-30,senior,high jump,25,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Ljubljana (SLO),2004-08-10,senior,high jump,20,F,0
2.03,Kajsa BERGQVIST,1976-10-12,SWE,Sheffield (GBR),2005-08-21,senior,high jump,28,F,0
2.03,Venelina VENEVA-MATEEVA,1974-06-13,BUL,Athina (GRE),2006-05-31,senior,high jump,31,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Somoskő (HUN),2006-07-01,senior,high jump,22,F,0
2.03,Tia HELLEBAUT,1978-02-16,BEL,"Ullevi Stadium, Göteborg (SWE)",2006-08-11,senior,high jump,28,F,0
2.03,Venelina VENEVA-MATEEVA,1974-06-13,BUL,"Ullevi Stadium, Göteborg (SWE)",2006-08-11,senior,high jump,32,F,0
2.03,Antonietta DI MARTINO,1978-06-01,ITA,Milano (ITA),2007-06-24,senior,high jump,29,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Stade Louis II, Monaco (MON)",2007-07-25,senior,high jump,23,F,0
2.03,Antonietta DI MARTINO,1978-06-01,ITA,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-02,senior,high jump,29,F,0
2.03,Anna CHICHEROVA,1982-07-22,RUS,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-02,senior,high jump,25,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Boudewijnstadion, Bruxelles (BEL)",2007-09-14,senior,high jump,23,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Arnstadt (GER) (i),2008-02-02,senior,high jump,24,F,1
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-09,senior,high jump,24,F,1
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Doha (QAT),2008-05-09,senior,high jump,24,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Olympiastadion, Berlin (GER)",2008-06-01,senior,high jump,24,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Meteor, Zhukovskiy (RUS)",2008-06-15,senior,high jump,24,F,0
2.03,Ariane FRIEDRICH,1984-01-10,GER,"Parc des Sports, Annecy (FRA)",2008-06-22,senior,high jump,24,F,0
2.03,Anna CHICHEROVA,1982-07-22,RUS,Kazan (RUS),2008-07-20,senior,high jump,25,F,0
2.03,Yelena SLESARENKO,1982-02-28,RUS,Kazan (RUS),2008-07-20,senior,high jump,26,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Rijeka (CRO) (i),2009-01-26,senior,high jump,25,F,1
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Olympiastadion, Berlin (GER)",2009-06-14,senior,high jump,25,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Stade Louis II, Monaco (MON)",2009-07-28,senior,high jump,25,F,0
2.03,Ariane FRIEDRICH,1984-01-10,GER,"Stade Louis II, Monaco (MON)",2009-07-28,senior,high jump,25,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,Split (CRO) (i),2010-02-21,senior,high jump,26,F,1
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Stadio Olimpico, Roma (ITA)",2010-06-10,senior,high jump,26,F,0
2.03,Chaunte LOWE,1984-01-12,USA,"Stadio Olimpico, Roma (ITA)",2010-06-10,senior,high jump,26,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"Estadio Olímpico, Barcelona (ESP)",2010-08-01,senior,high jump,26,F,0
2.03,Anna CHICHEROVA,1982-07-22,RUS,"DS, Daegu (KOR)",2011-09-03,senior,high jump,29,F,0
2.03,Blanka VLAŠIĆ,1983-11-08,CRO,"DS, Daegu (KOR)",2011-09-03,senior,high jump,27,F,0
2.03,Anna CHICHEROVA,1982-07-22,RUS,Cheboksary (RUS),2012-07-04,senior,high jump,29,F,0
2.03,Brigetta BARRETT,1990-12-24,USA,"Olympic Stadium, London (GBR)",2012-08-11,senior,high jump,21,F,0
2.03,Anna CHICHEROVA,1982-07-22,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,senior,high jump,32,F,0
2.03,Mariya KUCHINA,1993-01-14,RUS,Moskva (RUS) (i),2017-02-21,senior,high jump,24,F,1
2.03,Mariya LASITSKENE,1993-01-14,ANA,"Hayward Field, Eugene, OR (USA)",2017-05-27,senior,high jump,24,F,0
2.03,Mariya LASITSKENE,1993-01-14,ANA,"Olympic Stadium, London (GBR)",2017-08-12,senior,high jump,24,F,0
2.03,Mariya LASITSKENE,1993-01-14,ANA,"FBK Stadium, Hengelo (NED)",2018-06-03,senior,high jump,25,F,0
2.03,Mariya LASITSKENE,1993-01-14,RUS,Moskva (RUS) (i),2019-01-20,senior,high jump,26,F,1
2.03,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Olympiastadion, Stockholm (SWE)",2021-07-04,senior,high jump,19,F,0
2.03,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Sechseläutenplatz, Zürich (SUI)",2021-09-08,senior,high jump,19,F,0
2.03,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Nákupní centrum Olympia, Brno (CZE)",2022-06-22,senior,high jump,20,F,0
2.03,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Letzigrund, Zürich (SUI)",2022-09-08,senior,high jump,20,F,0
2.03,Yaroslava MAHUCHIKH,2001-09-19,UKR,"Hayward Field, Eugene, OR (USA)",2023-09-17,senior,high jump,21,F,0
2.03,Nicola OLYSLAGERS,1996-12-28,AUS,"Hayward Field, Eugene, OR (USA)",2023-09-17,senior,high jump,26,F,0
2.03,Nicola OLYSLAGERS,1996-12-28,AUS,"AIS Athletics Track, Canberra (AUS)",2024-01-27,senior,high jump,27,F,0
2.02,Ulrike MEYFARTH,1956-05-04,FRG,"Olympic Stadium, Athina (GRE)",1982-09-08,senior,high jump,26,F,0
2.02,Ulrike MEYFARTH,1956-05-04,FRG,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-10,senior,high jump,28,F,0
2.02,Lyudmila ANDONOVA,1960-05-06,BUL,Roma (ITA),1984-08-31,senior,high jump,24,F,0
2.02,Tamara BYKOVA,1958-12-21,URS,Moskva (URS),1985-08-18,senior,high jump,26,F,0
2.02,Susanne BEYER,1961-06-24,GDR,"Hoosier Dome, Indianapolis, IN (USA) (i)",1987-03-08,senior,high jump,25,F,1
2.02,Stefka KOSTADINOVA,1965-03-25,BUL,Lage (GER),1987-06-03,senior,high jump,22,F,0
2.02,Silvia COSTA,1964-05-04,CUB,Nice (FRA),1988-07-10,senior,high jump,24,F,0
2.02,Stefka KOSTADINOVA,1965-03-25,BUL,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-05,senior,high jump,23,F,1
